	Value
TotalBarcodes	687731.0
Sum_TotalFragments	1109000366.0
Sum_UniqMapped	794895030.0
Sum_UniqMappedMapQ30	673963932.0
Sum_UniqMappedMapQ30NoDup	673963932.0
Sum_UniqMappedMapQ30NoDup_Cis	665024906.0
Sum_UniqMappedMapQ30NoDup_Trans	8939026.0
Sum_UniqMappedMapQ30NoDup_Cis10kb	22800204.0
Median_TotalFragments	16.0
Mean_TotalFragments	1612.549624780619
Median_UniqMapped	8.0
Mean_UniqMapped	1155.8225963349041
Median_UniqMappedMapQ30NoDup	6.0
Mean_UniqMappedMapQ30NoDup	979.9818998998155
Median_MappingRate	0.6451612903225806
Mean_MappingRate	0.6253000505354208
Median_DuplicationRate	0.0
Mean_DuplicationRate	0.0
Median_CisRatio	1.0
Mean_CisRatio	0.8834424558967436
Median_LongRangeCisRate	0.0
Mean_LongRangeCisRate	0.04109135763093737
