CellID,InputReadPairs,InputReads_R1,InputReads_R2,InputBP_R1,InputBP_R2,TrimmedReadPairs,TrimmedReads_R1,TrimmedReads_R2,TrimmedBP_R1,TrimmedBP_R2,TrimmedReadsRate,AdapterTrimmedReads,AdapterTrimmedRate,Q20Rate_Before,Q30Rate_Before,Q20Rate_After,Q30Rate_After,GC_Before,GC_After,DuplicationRate_fastp,TotalAlignments,MappedReads,UnmappedReads,MappedReadsMapQ30,SecondaryAlignments,SupplementaryAlignments,ProperPairs,MappingRate,MappingRateMapQ30,ProperPairRate,DeduppedReads,DeduppedReadsMapQ30,DuplicatedReads,DuplicationRate,FinalReadPairs,OverallPassRate
SRR921526,2832860,2832860,2832860,113314400,113314400,2517520,2517520,2517520,85259595,85364593,88.8684933247672,580078,10.23838100012002,95.9729,92.6951,97.078,94.3217,39.051,42.1686,70.2231,5665720,4828173,837547,3733554,0,0,740343,95.89145269948204,74.15142680097874,29.407631319711463,4828173,3733554,0,0.0,2414086,85.21727159125408
SRR921527,13882700,13882700,13882700,1402152700,1402152700,12241093,12241093,12241093,1159955834,1159965200,88.17516045149719,2938562,10.583539225078695,94.8144,91.2258,98.6292,95.7785,40.455200000000005,41.9458,73.5365,31828308,25387659,2377741,21168610,0,4062908,4626507,103.69849734823516,86.46535893485982,37.79488481951734,25387659,21168610,0,0.0,12693829,91.43631282099304
SRR921528,5430141,5430141,5430141,217205640,217205640,5285993,5285993,5285993,179723762,179723762,97.34540963116795,504,0.0046407634718877,96.1618,93.0353,96.915,93.9987,43.4603,42.2661,64.78829999999999,10860282,10345944,514338,8253405,0,0,1876981,97.86187760748076,78.06863346205718,35.508578993577935,10345944,8253405,0,0.0,5172972,95.26404562975436
SRR921529,2763319,2763319,2763319,110532760,110532760,2667823,2667823,2667823,90574869,90618140,96.54415577788885,79462,1.4377999789383709,95.4975,92.2388,96.6687,93.7257,38.1238,41.7757,53.8133,5526638,5107310,419328,4051043,0,0,710659,95.72055567404584,75.92413364754708,26.638161527207764,5107310,4051043,0,0.0,2553655,92.41260238141165
SRR921530,5522500,5522500,5522500,220900000,220900000,5120740,5120740,5120740,173936731,173926753,92.72503395201448,271098,2.454486192847442,90.9212,78.0784,98.7767,86.4186,38.3482,42.1741,80.3754,11045000,10110898,934102,8038243,0,0,1415210,98.72496943801092,78.48712295488542,27.636825927502667,10110898,8038243,0,0.0,5055449,91.54276143051156
SRR921531,3896009,3896009,3896009,155840360,155840360,3703652,3703652,3703652,125506853,125484014,95.06271674423748,123816,1.5890107030040228,94.971,86.8114,96.8519,88.6448,43.0288,41.5609,78.481,7792018,7414387,377631,6094549,0,0,2122074,100.09562183488082,82.27756009473892,57.296797863298174,7414387,6094549,0,0.0,3707193,95.15360462462998
SRR921532,2879637,2879637,2879637,115185480,115185480,2798533,2798533,2798533,95150122,95150122,97.18353389680712,202,0.0035073865212872,98.2535,96.6463,99.3851,97.8993,44.546,43.4771,90.2829,5759274,5481648,277626,4307887,0,0,866852,97.9378838841636,76.96687871824274,30.975228807378723,5481648,4307887,0,0.0,2740824,95.17949658238174
SRR921533,26861064,26861064,26861064,2712967464,2712967464,25994583,25994583,25994583,2467722127,2467722127,96.77421192250613,271496,0.5053708967001456,97.1737,93.7236,98.4167,95.1697,43.3055,42.830200000000005,81.91810000000001,62377047,53154990,567138,45705129,0,8654919,9725746,102.24243643377548,87.9127951388949,37.41451055398735,53154990,45705129,0,0.0,26577495,98.94431210915546
SRR921534,1945263,1945263,1945263,77810520,77810520,1882521,1882521,1882521,64005714,64005714,96.7746263615768,216,0.0055519485025932,97.463,94.4328,98.8463,95.8776,44.9391,43.8826,82.04860000000001,3890526,3427186,463340,2684027,0,0,639820,91.02650116519284,71.28810249659897,33.98740306217036,3427186,2684027,0,0.0,1713593,88.09055639263175
SRR921535,5350141,5350141,5350141,214005640,214005640,5173536,5173536,5173536,175900224,175900224,96.69905895938072,94,0.0008784815203935,95.8947,92.7821,96.8045,93.8792,42.7821,41.456,79.3626,10700282,10103176,597106,8027294,0,0,2060366,97.64285007391464,77.58034350200714,39.82510221249064,10103176,8027294,0,0.0,5051588,94.4197171625944
