CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	18394	33118	35.71	51512
2	19008	32349	37.01	51357
3	16869	32213	34.37	49082
4	18723	32976	36.22	51699
5	19830	33896	36.91	53726
6	21039	36360	36.65	57399
7	20128	31719	38.82	51847
8	20797	36385	36.37	57182
9	21797	37457	36.79	59254
10	19189	34245	35.91	53434
11	20095	35939	35.86	56034
12	24730	39927	38.25	64657
13	24194	38506	38.59	62700
14	23846	37150	39.09	60996
15	23208	37111	38.48	60319
16	21516	34933	38.12	56449
17	22796	36339	38.55	59135
18	22090	35431	38.40	57521
19	20284	35505	36.36	55789
20	22701	35749	38.84	58450
21	20776	34338	37.70	55114
22	25705	39441	39.46	65146
23	21650	34564	38.51	56214
24	25558	39801	39.10	65359
25	23152	36652	38.71	59804
26	21412	35834	37.40	57246
27	21125	34695	37.84	55820
28	23256	37154	38.50	60410
29	21159	34655	37.91	55814
30	21282	35027	37.80	56309
31	19604	32834	37.39	52438
32	21693	35527	37.91	57220
33	20304	32940	38.13	53244
34	21381	32910	39.38	54291
35	19528	32756	37.35	52284
36	21420	34869	38.05	56289
37	21496	34239	38.57	55735
38	21892	35744	37.98	57636
39	19398	32992	37.03	52390
40	19749	32735	37.63	52484
41	21703	34783	38.42	56486
42	20793	33157	38.54	53950
43	19511	31695	38.10	51206
44	21284	33634	38.76	54918
45	20427	33394	37.95	53821
46	21725	32734	39.89	54459
47	19408	31516	38.11	50924
48	21332	33533	38.88	54865
49	21511	35115	37.99	56626
50	20256	33967	37.36	54223
51	20116	32345	38.34	52461
52	21023	34127	38.12	55150
53	21385	33684	38.83	55069
54	21359	34097	38.52	55456
55	20153	33092	37.85	53245
56	20441	33875	37.63	54316
57	21072	34309	38.05	55381
58	19849	31900	38.36	51749
59	18693	31052	37.58	49745
60	19682	32442	37.76	52124
61	18987	32689	36.74	51676
62	19780	32891	37.55	52671
63	18924	30250	38.48	49174
64	19279	31592	37.90	50871
65	19610	30384	39.22	49994
66	19293	32171	37.49	51464
67	18881	31419	37.54	50300
68	18709	31941	36.94	50650
69	18933	33170	36.34	52103
70	19843	31651	38.53	51494
71	19037	32555	36.90	51592
72	17041	31409	35.17	48450
73	18548	31341	37.18	49889
74	18034	31196	36.63	49230
75	18485	30400	37.81	48885
76	17615	29896	37.08	47511
77	18146	29267	38.27	47413
78	18064	29862	37.69	47926
79	17985	30039	37.45	48024
80	17107	29240	36.91	46347
81	18708	29410	38.88	48118
82	17859	30831	36.68	48690
83	17037	28008	37.82	45045
84	17211	29134	37.14	46345
85	16714	28003	37.38	44717
86	16677	28264	37.11	44941
87	16807	28957	36.73	45764
