CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	25610	43702	36.95	69312
2	26504	43288	37.98	69792
3	25031	41677	37.52	66708
4	26901	43029	38.47	69930
5	28692	45887	38.47	74579
6	29256	48124	37.81	77380
7	27282	42426	39.14	69708
8	29717	48869	37.81	78586
9	32236	50808	38.82	83044
10	26906	45366	37.23	72272
11	28674	46556	38.12	75230
12	35091	51445	40.55	86536
13	35281	52455	40.21	87736
14	32202	51104	38.66	83306
15	32819	50112	39.57	82931
16	29775	46548	39.01	76323
17	30601	47871	39.00	78472
18	30887	49273	38.53	80160
19	29656	48307	38.04	77963
20	30366	48265	38.62	78631
21	29179	46373	38.62	75552
22	36449	52674	40.90	89123
23	30828	46161	40.04	76989
24	38152	55170	40.88	93322
25	33843	51186	39.80	85029
26	30118	46247	39.44	76365
27	29529	46654	38.76	76183
28	33599	50367	40.02	83966
29	30968	47111	39.66	78079
30	31186	47655	39.56	78841
31	27627	44540	38.28	72167
32	30523	47200	39.27	77723
33	27194	44187	38.10	71381
34	29380	45340	39.32	74720
35	27422	45007	37.86	72429
36	30927	47540	39.41	78467
37	30821	48392	38.91	79213
38	31762	48394	39.63	80156
39	26488	43980	37.59	70468
40	27916	43151	39.28	71067
41	30173	47614	38.79	77787
42	28232	44433	38.85	72665
43	27444	43582	38.64	71026
44	29400	45967	39.01	75367
45	27864	45402	38.03	73266
46	29192	45840	38.91	75032
47	27346	42641	39.07	69987
48	30231	45966	39.67	76197
49	31470	47165	40.02	78635
50	28086	45547	38.14	73633
51	27513	43139	38.94	70652
52	29358	46830	38.53	76188
53	29930	45720	39.56	75650
54	29696	44010	40.29	73706
55	28525	43680	39.51	72205
56	28608	46250	38.22	74858
57	29201	45675	39.00	74876
58	26021	43735	37.30	69756
59	26082	41062	38.84	67144
60	26792	43108	38.33	69900
61	26310	43305	37.79	69615
62	26881	43450	38.22	70331
63	25821	41414	38.40	67235
64	25111	40500	38.27	65611
65	26271	40892	39.12	67163
66	26467	42821	38.20	69288
67	25008	42971	36.79	67979
68	26493	42904	38.18	69397
69	27525	43279	38.87	70804
70	26615	43400	38.01	70015
71	27073	42787	38.75	69860
72	24470	41374	37.16	65844
73	25004	41865	37.39	66869
74	24355	40961	37.29	65316
75	24072	39659	37.77	63731
76	23949	40511	37.15	64460
77	24639	38865	38.80	63504
78	25616	40642	38.66	66258
79	24488	39806	38.09	64294
