SRR	condition	label
SRR1248457	2i	2i_1
SRR1248458	2i	2i_2
SRR1248459	2i	2i_3
SRR1248460	2i	2i_4
SRR1248461	2i	2i_5
SRR1248462	2i	2i_6
SRR1248463	2i	2i_7
SRR1248464	2i	2i_8
SRR1248465	2i	2i_9
SRR1248466	2i	2i_10
SRR1248467	2i	2i_11
SRR1248468	2i	2i_12
SRR1248477	Ser	Ser_1
SRR1248478	Ser	Ser_2
SRR1248479	Ser	Ser_3
SRR1248480	Ser	Ser_4
SRR1248481	Ser	Ser_5
SRR1248482	Ser	Ser_6
SRR1248483	Ser	Ser_7
SRR1248484	Ser	Ser_8
SRR1248485	Ser	Ser_9
SRR1248486	Ser	Ser_10
SRR1248487	Ser	Ser_11
SRR1248488	Ser	Ser_12
SRR1248489	Ser	Ser_13
SRR1248490	Ser	Ser_14
SRR1248491	Ser	Ser_15
SRR1248492	Ser	Ser_16
SRR1248493	Ser	Ser_17
SRR1248494	Ser	Ser_18
SRR1248495	Ser	Ser_19
SRR1248496	Ser	Ser_20
