SRR10470224	GSM4163398
SRR10470225	GSM4163399
SRR10470228	GSM4163402
SRR10470229	GSM4163403
SRR10470234	GSM4163408
SRR10470236	GSM4163410
SRR10470237	GSM4163411
SRR10470240	GSM4163414
SRR10470243	GSM4163417
SRR10470247	GSM4163421
SRR10470222	GSM4163396
SRR10470239	GSM4163413
SRR10470241	GSM4163415
SRR10470244	GSM4163418
SRR10470250	GSM4163424
SRR10470221	GSM4163395
SRR10470223	GSM4163397
SRR10470226	GSM4163400
SRR10470227	GSM4163401
SRR10470230	GSM4163404
SRR10470231	GSM4163405
SRR10470232	GSM4163406
SRR10470233	GSM4163407
SRR10470235	GSM4163409
SRR10470238	GSM4163412
SRR10470242	GSM4163416
SRR10470245	GSM4163419
SRR10470246	GSM4163420
SRR10470248	GSM4163422
SRR10470249	GSM4163423
SRR10474119	GSM4163114
SRR10474122	GSM4163117
SRR10474123	GSM4163118
SRR10474125	GSM4163120
SRR10474128	GSM4163123
SRR10474129	GSM4163124
SRR10474130	GSM4163125
SRR10474132	GSM4163127
SRR10474133	GSM4163128
SRR10474135	GSM4163130
SRR10474142	GSM4163137
SRR10474146	GSM4163141
SRR10474147	GSM4163142
SRR10474148	GSM4163143
SRR10474149	GSM4163144
SRR10474151	GSM4163146
SRR10473629	GSM4163104
SRR10473630	GSM4163105
SRR10473631	GSM4163106
SRR10474115	GSM4163110
SRR10474117	GSM4163112
SRR10474120	GSM4163115
SRR10474121	GSM4163116
SRR10474124	GSM4163119
SRR10474126	GSM4163121
SRR10474127	GSM4163122
SRR10474131	GSM4163126
SRR10474134	GSM4163129
SRR10474137	GSM4163132
SRR10474138	GSM4163133
SRR10474145	GSM4163140
SRR10474150	GSM4163145
SRR10474152	GSM4163147
SRR10474156	GSM4163151
SRR10474158	GSM4163153
SRR10474159	GSM4163154
SRR10475274	GSM4163165
SRR10475275	GSM4163166
SRR10475282	GSM4163173
SRR10475284	GSM4163175
SRR10475285	GSM4163176
SRR10475290	GSM4163181
SRR10475292	GSM4163183
SRR10475294	GSM4163185
SRR10475295	GSM4163186
SRR10475296	GSM4163187
SRR10475300	GSM4163191
SRR10475302	GSM4163193
SRR10475304	GSM4163195
SRR10475306	GSM4163197
SRR10475310	GSM4163201
SRR10475745	GSM4163204
SRR10475747	GSM4163206
SRR10475752	GSM4163211
SRR10475763	GSM4163222
SRR10475764	GSM4163223
SRR10475766	GSM4163225
SRR10475767	GSM4163226
SRR10475768	GSM4163227
SRR10475769	GSM4163228
SRR10475770	GSM4163229
SRR10475771	GSM4163230
SRR10475773	GSM4163232
SRR10475775	GSM4163234
SRR10475780	GSM4163239
SRR10475784	GSM4163243
SRR10475785	GSM4163244
SRR10475786	GSM4163245
SRR10475787	GSM4163246
SRR10475789	GSM4163248
