SRR10470323	GSM4167187
SRR10470324	GSM4167188
SRR10470325	GSM4167189
SRR10470332	GSM4167196
SRR10470335	GSM4167199
SRR10470336	GSM4167200
SRR10470339	GSM4167203
SRR10470340	GSM4167204
SRR10470341	GSM4167205
SRR10470342	GSM4167206
SRR10470343	GSM4167207
SRR10470350	GSM4167214
SRR10470352	GSM4167216
SRR10470354	GSM4167218
SRR10470355	GSM4167219
SRR10470360	GSM4167224
SRR10470361	GSM4167225
SRR10470362	GSM4167226
SRR10470363	GSM4167227
SRR10470364	GSM4167228
SRR10470754	GSM4167234
SRR10470755	GSM4167235
SRR10470760	GSM4167240
SRR10470764	GSM4167244
SRR10470770	GSM4167250
SRR10470775	GSM4167255
SRR10470776	GSM4167256
SRR10470785	GSM4167265
SRR10470786	GSM4167266
SRR10470791	GSM4167271
SRR10470796	GSM4167276
SRR10470895	GSM4166343
SRR10470897	GSM4166345
SRR10470899	GSM4166347
SRR10470900	GSM4166348
SRR10470902	GSM4166350
SRR10470905	GSM4166353
SRR10470910	GSM4166358
SRR10470911	GSM4166359
SRR10470915	GSM4166363
SRR10470918	GSM4166366
SRR10470919	GSM4166367
SRR10470920	GSM4166368
SRR10470923	GSM4166371
SRR10470928	GSM4166376
SRR10470929	GSM4166377
SRR10470933	GSM4166381
SRR10470934	GSM4166382
SRR10470937	GSM4166385
SRR10471376	GSM4166392
SRR10471377	GSM4166393
SRR10471378	GSM4166394
SRR10471379	GSM4166395
SRR10471381	GSM4166397
SRR10471382	GSM4166398
SRR10471384	GSM4166400
SRR10471388	GSM4166404
SRR10471389	GSM4166405
SRR10471393	GSM4166409
SRR10471397	GSM4166413
SRR10471398	GSM4166414
SRR10471400	GSM4166416
SRR10471401	GSM4166417
SRR10471402	GSM4166418
SRR10471404	GSM4166420
SRR10471405	GSM4166421
SRR10471408	GSM4166424
SRR10471410	GSM4166426
SRR10471411	GSM4166427
SRR10471412	GSM4166428
SRR10471413	GSM4166429
SRR10471417	GSM4166433
SRR10471420	GSM4166436
SRR10471421	GSM4166797
SRR10471426	GSM4166802
SRR10471428	GSM4166804
SRR10471432	GSM4166808
SRR10471434	GSM4166810
SRR10471444	GSM4166820
SRR10471445	GSM4166821
SRR10471448	GSM4166824
SRR10471449	GSM4166825
SRR10471451	GSM4166827
SRR10470322	GSM4167186
SRR10471452	GSM4166828
SRR10470326	GSM4167190
SRR10470331	GSM4167195
SRR10471453	GSM4166829
SRR10471454	GSM4166830
SRR10470333	GSM4167197
SRR10471455	GSM4166831
SRR10470334	GSM4167198
SRR10471456	GSM4166832
SRR10471457	GSM4166833
SRR10470337	GSM4167201
SRR10471461	GSM4166837
SRR10470338	GSM4167202
SRR10471464	GSM4166840
SRR10470345	GSM4167209
SRR10470346	GSM4167210
