cell_id	HCG_site_count	GCH_site_count	HCH_site_count	HCG_mc_rate	GCH_mc_rate	HCH_mc_rate
SRR10470168	537073	2924044	10102687	86.770	1.609	1.767
SRR10470169	893289	4862770	16386908	86.242	1.797	1.887
SRR10470170	956236	5128450	17403127	78.902	1.592	1.611
SRR10470171	1292246	6894991	23497772	79.438	1.861	1.977
SRR10470172	1224837	6469637	21884075	77.423	1.741	1.868
SRR10470173	914767	5030199	17248994	85.608	1.486	1.534
SRR10470174	826300	4367823	14495946	81.757	2.076	2.104
SRR10470175	935690	5034924	17030118	86.960	1.927	2.050
SRR10470176	445629	2351972	7745590	82.610	1.494	1.590
SRR10470177	339869	1704583	5466243	73.993	1.177	1.188
SRR10470178	583631	3185548	10844907	86.734	2.036	2.215
SRR10470179	388338	1985124	6581446	70.174	1.509	1.724
SRR10470180	1108575	6021326	20273245	87.303	2.379	2.459
SRR10470181	1595796	8610683	29204760	77.229	2.160	2.096
SRR10470182	474445	2582759	8769776	82.271	1.694	1.889
SRR10470183	1208139	6519645	21535742	83.421	1.987	1.879
SRR10470184	898897	4791690	15870915	81.507	3.537	3.096
SRR10470185	438430	2206719	7253316	73.030	1.418	1.440
SRR10470186	506550	2584600	8533482	76.292	1.467	1.593
SRR10470187	621646	3210780	10369932	84.660	1.558	1.499
SRR10470188	1623195	8450176	28568291	77.046	1.905	1.809
SRR10470189	446727	2375572	7929987	82.993	1.454	1.519
SRR10470190	949941	5212878	17553662	86.906	1.921	1.854
SRR10470191	559900	3022798	10300730	86.100	1.702	1.868
SRR10470192	614224	3308270	11240653	86.179	1.495	1.721
SRR10470193	834335	4536189	15641346	86.358	1.823	1.940
SRR10470194	331247	1702400	5524100	80.340	1.651	1.599
SRR10470195	560694	2924962	9732342	71.388	1.621	1.742
SRR10470196	735739	4089321	13807664	77.792	1.073	0.841
SRR10470197	434155	2261108	7413776	79.174	1.312	1.373
SRR10470198	1040827	5744892	19922481	87.950	2.314	2.625
SRR10470199	1128428	6131133	20625158	85.768	1.866	1.997
SRR10470200	376398	2164265	7792091	79.993	0.892	0.850
SRR10470201	516127	2802666	9434406	87.466	1.902	2.101
SRR10470202	651527	3385579	10923531	58.972	1.114	0.831
SRR10470203	716751	3889396	13315873	59.482	1.331	1.145
SRR10470204	485643	2459922	8002775	59.614	0.948	0.806
SRR10470205	671851	3596010	12164204	58.572	0.755	0.610
SRR10470206	889502	4550771	15082537	56.207	0.876	0.694
SRR10470207	1191793	6613072	22669768	58.827	3.049	2.646
SRR10470208	980863	5416199	18203297	56.692	3.064	2.484
SRR10470209	880552	4624790	15492172	58.282	0.830	0.734
SRR10470210	1420913	7611059	25261493	60.640	2.028	1.590
SRR10470211	525332	2726325	8953954	58.293	0.987	0.857
SRR10470212	632366	3380844	11476307	59.031	0.795	0.621
SRR10470213	564215	2931054	9599323	61.553	0.959	0.816
SRR10470214	372155	1848559	5798141	57.313	1.103	0.826
SRR10470215	559062	2910406	9672925	55.551	0.841	0.744
SRR10470216	1316717	7287306	25364073	58.911	1.531	1.378
SRR10470217	1552405	8185979	27671830	59.746	1.674	1.559
SRR10470218	747014	4067480	13708857	85.493	1.768	1.720
SRR10470219	1644375	8414066	27338541	57.980	2.075	1.646
SRR10470220	1865576	9867614	33334030	55.745	1.881	1.592
SRR10473101	388817	2014475	6514073	57.201	1.164	0.899
SRR10473102	1607232	8722867	29416688	59.570	1.933	1.757
SRR10473103	439989	2331980	7856841	58.312	0.945	0.856
SRR10473104	524256	2803198	9400333	58.263	0.915	0.759
SRR10473105	1799607	9750737	33434953	58.592	1.646	1.437
SRR10473106	758846	3862900	12356631	56.902	1.005	0.716
SRR10473107	370905	1857119	5930953	58.197	1.349	1.111
SRR10473108	605417	3223542	10830785	55.863	0.909	0.768
SRR10473109	321374	1695181	5544549	59.764	0.892	0.745
SRR10473110	356230	1885784	6323388	58.826	0.962	0.799
SRR10473111	2519350	13729213	46450156	57.607	2.012	1.763
SRR10473112	2513872	14161216	49621820	79.643	0.958	0.855
SRR10473113	379147	2011842	6856634	58.295	0.912	0.824
SRR10473114	1880619	10177950	35160951	57.763	1.290	1.093
SRR10473115	3239454	17306393	59345874	58.988	2.209	1.942
SRR10473116	657609	3268766	10624422	58.899	0.942	0.794
SRR10473117	368320	1862942	5998491	49.535	1.292	0.981
SRR10473118	696136	3570135	11929227	59.235	0.873	0.723
SRR10473119	1903138	10123800	33667031	58.881	2.077	1.725
SRR10473120	526770	2694923	8917998	56.256	0.966	0.841
SRR10473121	1101932	5853462	20031507	57.375	1.305	1.140
SRR10473122	2061991	10973460	36602405	60.699	1.675	1.474
SRR10473123	1194317	6173490	20761814	56.929	1.314	1.159
SRR10473124	398962	1997991	6417827	57.803	0.967	0.835
SRR10473125	1995945	10770406	36084114	57.424	2.179	1.749
SRR10473126	1760699	9213864	30320191	56.287	1.860	1.457
SRR10473127	454941	2403635	8104361	57.824	1.059	0.950
SRR10473128	1591161	8380065	28022473	58.743	1.769	1.526
SRR10473129	3886465	20746535	70799893	58.549	2.330	2.049
SRR10473130	650017	3472330	11532342	59.287	1.459	1.145
SRR10473131	660010	3461970	11680598	58.491	0.863	0.773
SRR10473132	1396521	7464722	25543662	55.382	0.773	0.673
SRR10473133	1089051	5906134	20240261	56.887	1.601	1.421
SRR10473134	2017575	10829312	37018824	56.918	1.889	1.691
SRR10473135	468539	2520403	8392746	57.527	1.100	0.935
SRR10473136	1207516	6348411	21635182	58.408	1.558	1.402
SRR10473137	544482	2826123	9196155	61.741	1.094	0.814
SRR10473138	409261	2290363	8044222	80.774	1.386	1.391
SRR10473139	365756	2051603	7159967	87.479	1.746	1.807
SRR10473140	784614	4286347	15070531	75.026	2.052	2.215
SRR10473141	307569	1676372	5775707	78.167	1.799	1.943
SRR10473142	303367	1695888	6278364	88.421	2.785	3.000
SRR10473143	686157	3904055	13925114	90.593	2.773	3.188
SRR10473144	446001	2491659	8695677	75.133	1.577	1.653
SRR10473145	298315	1652387	5739430	84.245	1.822	2.014
SRR10473146	993384	5606290	19934589	80.533	1.604	1.615
SRR10473147	377433	2061037	7135100	79.759	2.200	2.364
