cell_id	HCG_site_count	GCH_site_count	HCH_site_count	HCG_mc_rate	GCH_mc_rate	HCH_mc_rate
SRR10470331	1321948	7297071	27401302	85.978	18.764	9.110
SRR10471453	1281160	6941149	25668567	78.292	14.279	3.628
SRR10470336	1993092	10924906	41158944	77.034	16.868	4.730
SRR10470920	11454639	62815999	234044048	80.323	13.350	3.113
SRR10470341	1144622	6282674	23258271	78.271	10.201	3.992
SRR10471412	486015	3033953	12110849	85.137	19.068	3.832
SRR10470911	1731222	9623616	36134562	77.897	5.869	0.950
SRR10471413	1905146	10444869	39297273	84.231	12.144	4.230
SRR10470919	1488550	8175669	30798909	84.129	10.064	5.031
SRR10471449	1363602	7492680	28123782	86.427	18.031	7.912
SRR10470361	1318538	7274299	27259488	79.418	13.913	3.578
SRR10471398	1337829	7303183	27063836	84.035	16.145	4.420
SRR10470764	1553006	8660521	32915490	85.135	21.182	4.945
SRR10470910	1730383	9561045	35372960	80.301	11.079	2.397
SRR10470354	1302983	7167592	26723803	79.434	10.755	1.601
SRR10470897	1548535	8467578	31526198	79.921	12.842	4.303
SRR10470786	1085207	5998931	22476852	80.269	14.954	3.501
SRR10470905	1575785	8666206	32371143	84.201	12.411	3.677
SRR10470776	661542	3927901	15512966	87.107	15.818	5.162
SRR10471410	1616837	8692784	31916717	79.752	15.929	5.601
SRR10470363	975677	5455621	20873550	82.251	18.966	6.529
SRR10471445	1371310	7419972	27479601	81.209	15.890	6.270
SRR10470796	1234732	6823707	25621283	79.970	12.641	3.382
SRR10471405	983643	5612440	21573362	80.946	13.694	3.629
SRR10470325	1628882	8995708	33770646	84.311	17.796	4.321
SRR10470791	1433988	7913265	29776815	77.092	17.789	4.832
SRR10471384	1390085	7683029	28953391	80.638	16.088	4.164
SRR10471432	1739468	9715930	36867749	81.342	13.767	4.633
SRR10470755	1355276	7492758	28270115	82.053	13.216	5.747
SRR10471377	1074307	5908114	22301421	83.883	18.703	9.672
SRR10470928	1255245	6926311	26015376	78.453	12.438	1.004
SRR10471421	1333898	7398960	27779446	79.814	14.206	3.557
SRR10470332	1195748	6588503	24726706	80.020	15.190	4.632
SRR10470900	1522503	8412463	31616982	80.195	16.175	2.982
SRR10470324	1141374	6320593	23648910	79.951	9.430	3.461
SRR10470775	1092826	6009979	22629366	80.272	16.816	3.774
SRR10470895	1403327	7821508	29703927	84.703	16.005	5.927
SRR10471401	1291863	7125155	26644306	85.067	14.690	5.105
SRR10470322	1380624	7641294	28951588	85.896	18.835	9.911
SRR10470915	1489904	8280250	31128817	77.923	6.842	0.979
SRR10471381	1914783	10545311	39816140	81.112	13.624	4.617
SRR10471464	1589374	8911070	33913582	80.410	11.122	1.282
SRR10470323	1281236	7248485	27381613	86.637	14.925	7.598
SRR10470339	1778047	9746771	36721701	81.279	15.218	3.771
SRR10470337	1501510	8367485	31492117	84.539	14.450	5.336
SRR10470345	1001417	5613106	21320706	80.936	16.064	6.136
SRR10471448	1496998	8266910	31513980	79.492	15.109	3.668
SRR10471452	1222131	6742473	25501870	78.563	17.923	4.523
SRR10470770	1049239	5758043	21528770	81.606	15.536	4.883
SRR10470899	1323217	7233874	27234651	80.658	18.247	4.905
SRR10471408	1154773	6470525	24532464	81.736	14.538	4.781
SRR10471420	1772883	9858146	37197086	85.155	8.392	4.961
SRR10470918	1287499	7062865	26685169	79.068	17.700	5.152
SRR10471382	1658903	9041301	33620259	81.443	13.625	4.917
SRR10470338	1257177	6809244	25419699	84.919	17.517	6.930
SRR10471434	1606435	8708980	32252212	80.961	13.700	3.748
SRR10470364	999213	5651886	21608586	84.810	15.216	3.902
SRR10470754	1130257	6077633	22582145	78.563	16.709	4.663
SRR10471402	1247463	6775796	24928594	78.698	13.960	3.249
