run_accession	experiment_alias	experiment_title	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp
SRR10470168	GSM4162955	Illumina HiSeq 4000 sequencing: GSM4162955: 171009_mCT_hs_h1_h1_mCT_pool_10_AD006_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/068/SRR10470168/SRR10470168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/068/SRR10470168/SRR10470168_2.fastq.gz	bbfa5f2d55f7cf7cd15b5556bb54fc6c;31dc46e9c76ca06c944b886cbbc2991f	150706923;191469251	
SRR10470173	GSM4162960	Illumina HiSeq 4000 sequencing: GSM4162960: 171009_mCT_hs_h1_h1_mCT_pool_20_AD008_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/073/SRR10470173/SRR10470173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/073/SRR10470173/SRR10470173_2.fastq.gz	f746c48cdd86bbb8ecb0320bb281d042;2c6739b08f0bc38ea61e72daf3aa7085	207856835;262755397	
SRR10470174	GSM4162961	Illumina HiSeq 4000 sequencing: GSM4162961: 171009_mCT_hs_h1_h1_mCT_pool_20_AD010_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/074/SRR10470174/SRR10470174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/074/SRR10470174/SRR10470174_2.fastq.gz	b2191266474dd6ae3dfbda4b2c2469c1;364de3399591d03af474bf3b0ee03900	199975229;255655544	
SRR10470175	GSM4162962	Illumina HiSeq 4000 sequencing: GSM4162962: 171009_mCT_hs_h1_h1_mCT_pool_25_AD010_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/075/SRR10470175/SRR10470175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/075/SRR10470175/SRR10470175_2.fastq.gz	14198f394a1af4d3e170ed89e189f24e;fcfb971ceb6812baf6bc0545c15e99f9	222635295;273733445	
SRR10470176	GSM4162963	Illumina HiSeq 4000 sequencing: GSM4162963: 171009_mCT_hs_h1_h1_mCT_pool_26_AD010_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/076/SRR10470176/SRR10470176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/076/SRR10470176/SRR10470176_2.fastq.gz	4298b7d035d71f3e0721faf241349dda;636533e08c66741ca72af667ba269533	158225084;198496313	
SRR10470178	GSM4162965	Illumina HiSeq 4000 sequencing: GSM4162965: 171009_mCT_hs_h1_h1_mCT_pool_2_AD010_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/078/SRR10470178/SRR10470178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/078/SRR10470178/SRR10470178_2.fastq.gz	3e42053165815bfe717256acf3a0421d;e0bccf0d7e7803b83cbf18d08a0de66a	148496888;184094236	
SRR10470184	GSM4162971	Illumina HiSeq 4000 sequencing: GSM4162971: 171009_mCT_hs_h1_h1_mCT_pool_51_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/084/SRR10470184/SRR10470184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/084/SRR10470184/SRR10470184_2.fastq.gz	e3d5feb4e31cfa6697ecc0d5f64034ae;08381fa2121300a52d54202b3c3f1019	181345234;232434405	
SRR10470185	GSM4162972	Illumina HiSeq 4000 sequencing: GSM4162972: 171009_mCT_hs_h1_h1_mCT_pool_57_AD008_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/085/SRR10470185/SRR10470185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/085/SRR10470185/SRR10470185_2.fastq.gz	0783457cd307f8a8bc2e4d5a2f83d7e5;8b3d2ae5d6795946495e80be921180ec	118599094;151425271	
SRR10470188	GSM4162975	Illumina HiSeq 4000 sequencing: GSM4162975: 171009_mCT_hs_h1_h1_mCT_pool_66_AD008_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/088/SRR10470188/SRR10470188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/088/SRR10470188/SRR10470188_2.fastq.gz	1e43bfe29da0c1ab2a6bc603b412b1ca;4e0438e7fed09095847c67e68bdeca54	311406671;375254628	
SRR10470189	GSM4162976	Illumina HiSeq 4000 sequencing: GSM4162976: 171009_mCT_hs_h1_h1_mCT_pool_66_AD010_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/089/SRR10470189/SRR10470189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/089/SRR10470189/SRR10470189_2.fastq.gz	e80eb90b62550a7b2e0f89436f425d7a;6efd2480db6d4f329606ed5352f781d6	152643834;190982317	
