CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	78	41	65.55	119
2	84	53	61.31	137
3	88	20	81.48	108
4	79	32	71.17	111
5	72	17	80.90	89
6	83	19	81.37	102
7	84	15	84.85	99
8	74	14	84.09	88
9	78	14	84.78	92
10	101	17	85.59	118
11	86	20	81.13	106
12	91	17	84.26	108
13	96	13	88.07	109
14	91	21	81.25	112
15	100	10	90.91	110
16	89	19	82.41	108
17	77	25	75.49	102
18	92	16	85.19	108
19	74	19	79.57	93
20	83	19	81.37	102
21	81	16	83.51	97
22	109	14	88.62	123
23	108	19	85.04	127
24	86	23	78.90	109
25	111	25	81.62	136
26	85	24	77.98	109
27	91	12	88.35	103
28	84	17	83.17	101
29	87	19	82.08	106
30	85	18	82.52	103
31	80	17	82.47	97
32	79	26	75.24	105
33	81	14	85.26	95
34	80	12	86.96	92
35	91	23	79.82	114
36	80	9	89.89	89
37	88	12	88.00	100
38	90	15	85.71	105
39	112	14	88.89	126
40	92	13	87.62	105
41	88	20	81.48	108
42	84	23	78.50	107
43	98	24	80.33	122
44	104	24	81.25	128
45	99	17	85.34	116
46	98	16	85.96	114
47	98	16	85.96	114
48	97	12	88.99	109
49	89	22	80.18	111
50	82	14	85.42	96
51	90	11	89.11	101
52	82	19	81.19	101
53	80	21	79.21	101
54	102	19	84.30	121
55	112	22	83.58	134
56	108	12	90.00	120
57	84	22	79.25	106
58	111	24	82.22	135
59	77	12	86.52	89
60	76	14	84.44	90
61	67	13	83.75	80
62	74	10	88.10	84
63	103	21	83.06	124
64	73	11	86.90	84
65	66	12	84.62	78
66	75	12	86.21	87
67	83	26	76.15	109
68	86	19	81.90	105
69	99	11	90.00	110
70	77	18	81.05	95
71	93	16	85.32	109
72	63	14	81.82	77
73	84	15	84.85	99
74	76	9	89.41	85
75	96	16	85.71	112
76	76	15	83.52	91
77	76	16	82.61	92
78	75	12	86.21	87
79	64	22	74.42	86
80	67	19	77.91	86
81	81	24	77.14	105
82	82	12	87.23	94
83	104	12	89.66	116
84	90	24	78.95	114
85	93	17	84.55	110
86	98	13	88.29	111
87	92	10	90.20	102
88	59	14	80.82	73
89	77	15	83.70	92
90	82	24	77.36	106
91	91	20	81.98	111
92	65	10	86.67	75
93	75	15	83.33	90
94	97	14	87.39	111
95	70	12	85.37	82
96	68	14	82.93	82
97	102	11	90.27	113
98	114	14	89.06	128
99	94	17	84.68	111
100	102	12	89.47	114
101	110	13	89.43	123
102	107	26	80.45	133
103	99	20	83.19	119
104	90	16	84.91	106
105	88	17	83.81	105
106	79	16	83.16	95
107	95	18	84.07	113
108	74	18	80.43	92
109	88	14	86.27	102
110	91	18	83.49	109
111	79	17	82.29	96
112	93	18	83.78	111
113	112	21	84.21	133
114	90	18	83.33	108
115	92	16	85.19	108
116	99	23	81.15	122
117	69	14	83.13	83
118	74	23	76.29	97
119	97	19	83.62	116
120	86	10	89.58	96
121	77	10	88.51	87
122	82	14	85.42	96
123	63	22	74.12	85
124	79	13	85.87	92
125	61	17	78.21	78
126	76	9	89.41	85
127	88	7	92.63	95
128	82	21	79.61	103
129	81	16	83.51	97
130	77	18	81.05	95
131	89	13	87.25	102
132	80	19	80.81	99
133	61	22	73.49	83
134	84	13	86.60	97
135	75	20	78.95	95
136	75	21	78.12	96
137	81	16	83.51	97
138	84	23	78.50	107
139	78	17	82.11	95
140	78	17	82.11	95
141	93	16	85.32	109
142	83	30	73.45	113
143	88	16	84.62	104
144	91	18	83.49	109
145	65	22	74.71	87

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	68	429	13.68	497
2	41	451	8.33	492
3	20	484	3.97	504
4	11	461	2.33	472
5	8	403	1.95	411
6	5	483	1.02	488
7	4	427	0.93	431
8	5	442	1.12	447
9	5	479	1.03	484
10	9	460	1.92	469
11	8	453	1.74	461
12	3	419	0.71	422
13	5	425	1.16	430
14	7	453	1.52	460
15	13	439	2.88	452
16	6	444	1.33	450
17	4	450	0.88	454
18	10	447	2.19	457
19	5	402	1.23	407
