CellID,Genome,Combined_TotalReads,Combined_UniqMapped,Combined_MappingRate,Combined_mCG_Rate,Combined_mCHG_Rate,Combined_mCHH_Rate,BAM_Combined_Mapped,BAM_Combined_MappedMapQ30,Bismark_R1_TotalReads,Bismark_R1_UniqMapped,Bismark_R1_MappingRate,Bismark_R1_Unmapped,Bismark_R1_Ambiguous,Bismark_R1_mCG_Rate,Bismark_R1_mCHG_Rate,Bismark_R1_mCHH_Rate,Bismark_R1_TotalC,Bismark_R2_TotalReads,Bismark_R2_UniqMapped,Bismark_R2_MappingRate,Bismark_R2_Unmapped,Bismark_R2_Ambiguous,Bismark_R2_mCG_Rate,Bismark_R2_mCHG_Rate,Bismark_R2_mCHH_Rate,Bismark_R2_TotalC,BAM_R1_TotalReads,BAM_R1_Mapped,BAM_R1_MappedMapQ30,BAM_R1_MappedMapQ30ToLambda,BAM_R1_MappedMapQ30ToTargetSpecies,BAM_R1_DuplicateMapped,BAM_R2_TotalReads,BAM_R2_Mapped,BAM_R2_MappedMapQ30,BAM_R2_MappedMapQ30ToLambda,BAM_R2_MappedMapQ30ToTargetSpecies,BAM_R2_DuplicateMapped,BAM_R1_Input,BAM_R1_TotalReads_Pct,BAM_R1_Mapped_Pct,BAM_R1_MappedMapQ30_Pct,BAM_R1_MappedMapQ30ToLambda_Pct,BAM_R1_MappedMapQ30ToTargetSpecies_Pct,BAM_R1_DuplicateMapped_Pct,BAM_R1_SecondarySkipped,BAM_R1_SecondarySkipped_Pct,BAM_R1_SupplementarySkipped,BAM_R1_SupplementarySkipped_Pct,BAM_R2_Input,BAM_R2_TotalReads_Pct,BAM_R2_Mapped_Pct,BAM_R2_MappedMapQ30_Pct,BAM_R2_MappedMapQ30ToLambda_Pct,BAM_R2_MappedMapQ30ToTargetSpecies_Pct,BAM_R2_DuplicateMapped_Pct,BAM_R2_SecondarySkipped,BAM_R2_SecondarySkipped_Pct,BAM_R2_SupplementarySkipped,BAM_R2_SupplementarySkipped_Pct,HCG_site_count,chrM_noncpg,chrM_endo,chr21_noncpg,chr21_endo
SRR6911624,hg38,2918982,1288241,44.1332286392996,73.85,2.25,2.5,1288240,741590,1459491,1020695,69.9,350201,88595,76.8,1.8,2.1,27273466,1459491,267546,18.3,1173187,18758,70.9,2.7,2.9,8117298,1020695,1020695,729065,0,729065,0,267545,267545,12525,0,12525,0,05.align/SRR6911624_1.clean_bismark_bt2.bam,100.0,100.0,71.4283,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911624_2.clean_bismark_bt2.bam,100.0,100.0,4.6815,0.0,100.0,0.0,0,0.0,0,0.0,295087,10.877,5.469,0.862,82.531
SRR6911625,hg38,3931130,1625853,41.358413484163584,77.0,5.65,6.7,1625853,944243,1965565,1300146,66.1,539812,125607,81.3,5.6,6.7,35185729,1965565,325707,16.6,1613672,26186,72.7,5.7,6.7,9966300,1300146,1300146,931100,0,931100,0,325707,325707,13143,0,13143,0,05.align/SRR6911625_1.clean_bismark_bt2.bam,100.0,100.0,71.615,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911625_2.clean_bismark_bt2.bam,100.0,100.0,4.0352,0.0,100.0,0.0,0,0.0,0,0.0,359516,21.6745,4.2815,3.333,81.81
SRR6911626,hg38,5762750,2787073,48.36359377033534,74.15,2.2,2.45,2787073,1573296,2881375,2113699,73.4,592335,175341,77.6,1.8,2.1,57454800,2881375,673374,23.4,2162359,45642,70.7,2.6,2.8,20364724,2113699,2113699,1540887,0,1540887,0,673374,673374,32409,0,32409,0,05.align/SRR6911626_1.clean_bismark_bt2.bam,100.0,100.0,72.9,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911626_2.clean_bismark_bt2.bam,100.0,100.0,4.8129,0.0,100.0,0.0,0,0.0,0,0.0,512024,1.6665,0.0,1.0005,82.4025
SRR6911627,hg38,6073862,2934691,48.31672171675945,76.7,3.9,4.65,2934690,1672372,3036931,2224837,73.3,630169,181925,80.5,3.6,4.5,60050266,3036931,709854,23.4,2279534,47543,72.9,4.2,4.8,21211344,2224836,2224836,1640167,0,1640167,0,709854,709854,32205,0,32205,0,05.align/SRR6911627_1.clean_bismark_bt2.bam,100.0,100.0,73.7208,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911627_2.clean_bismark_bt2.bam,100.0,100.0,4.5368,0.0,100.0,0.0,0,0.0,0,0.0,521584,3.4185,3.4995,2.236,83.6575
SRR6911628,hg38,5296278,2485843,46.93565934416585,79.0,8.850000000000001,9.55,2485843,1412224,2648139,1937754,73.2,559539,150846,83.0,8.9,9.7,53225375,2648139,548089,20.7,2063123,36927,75.0,8.8,9.4,16504859,1937754,1937754,1387379,0,1387379,0,548089,548089,24845,0,24845,0,05.align/SRR6911628_1.clean_bismark_bt2.bam,100.0,100.0,71.5973,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911628_2.clean_bismark_bt2.bam,100.0,100.0,4.533,0.0,100.0,0.0,0,0.0,0,0.0,447512,6.98,5.333,6.3415,86.11349999999999
SRR6911629,hg38,5027662,2299114,45.72928729099132,75.69999999999999,4.050000000000001,4.75,2299114,1351665,2513831,1822320,72.5,542455,149056,79.6,3.7,4.5,49275648,2513831,476794,19.0,2004700,32337,71.8,4.4,5.0,14427399,1822320,1822320,1328542,0,1328542,0,476794,476794,23123,0,23123,0,05.align/SRR6911629_1.clean_bismark_bt2.bam,100.0,100.0,72.9039,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911629_2.clean_bismark_bt2.bam,100.0,100.0,4.8497,0.0,100.0,0.0,0,0.0,0,0.0,502814,1.065,0.0,2.9685,82.949
SRR6911630,hg38,5911228,2721560,46.04051814614493,73.3,1.4,1.35,2721560,1566864,2955614,2139710,72.4,638302,177602,76.3,0.9,0.9,57240781,2955614,581850,19.7,2334174,39590,70.3,1.9,1.8,17567213,2139710,2139710,1538498,0,1538498,0,581850,581850,28366,0,28366,0,05.align/SRR6911630_1.clean_bismark_bt2.bam,100.0,100.0,71.9022,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911630_2.clean_bismark_bt2.bam,100.0,100.0,4.8751,0.0,100.0,0.0,0,0.0,0,0.0,548826,1.2795,3.4885,0.674,78.54499999999999
SRR6911631,hg38,5132616,2273635,44.2977810925267,73.30000000000001,2.0,2.25,2273634,1335329,2566308,1827964,71.2,584192,154152,77.4,1.6,1.9,49416540,2566308,445671,17.4,2090486,30151,69.2,2.4,2.6,13558012,1827964,1827964,1314312,0,1314312,0,445670,445670,21017,0,21017,0,05.align/SRR6911631_1.clean_bismark_bt2.bam,100.0,100.0,71.9003,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911631_2.clean_bismark_bt2.bam,100.0,100.0,4.7158,0.0,100.0,0.0,0,0.0,0,0.0,528101,5.555,4.01,0.78,83.59
SRR6911632,hg38,3758026,1611243,42.87471667306187,72.3,1.4,1.4,1611237,983041,1879013,1339975,71.3,431696,107342,76.1,0.9,0.9,36143673,1879013,271268,14.4,1590076,17669,68.5,1.9,1.9,8252852,1339969,1339969,970608,0,970608,0,271268,271268,12433,0,12433,0,05.align/SRR6911632_1.clean_bismark_bt2.bam,100.0,100.0,72.4351,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911632_2.clean_bismark_bt2.bam,100.0,100.0,4.5833,0.0,100.0,0.0,0,0.0,0,0.0,399547,11.476,11.875,0.5329999999999999,82.44200000000001
SRR6911633,hg38,5422676,2285708,42.15092327109346,72.35,2.4,2.95,2285708,1326106,2711338,1832858,67.6,731154,147326,76.2,2.0,2.6,49562278,2711338,452850,16.7,2228771,29717,68.5,2.8,3.3,13668367,1832858,1832858,1305336,0,1305336,0,452850,452850,20770,0,20770,0,05.align/SRR6911633_1.clean_bismark_bt2.bam,100.0,100.0,71.2186,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911633_2.clean_bismark_bt2.bam,100.0,100.0,4.5865,0.0,100.0,0.0,0,0.0,0,0.0,498531,7.015,30.0,1.4175,77.72999999999999
SRR6911634,hg38,4033760,1740936,43.15913688469319,75.85,6.05,6.85,1740936,1066323,2016880,1443606,71.6,458562,114712,80.1,5.8,6.7,39228758,2016880,297330,14.7,1699529,20021,71.6,6.3,7.0,9012757,1443606,1443606,1053146,0,1053146,0,297330,297330,13177,0,13177,0,05.align/SRR6911634_1.clean_bismark_bt2.bam,100.0,100.0,72.9525,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911634_2.clean_bismark_bt2.bam,100.0,100.0,4.4318,0.0,100.0,0.0,0,0.0,0,0.0,384129,2.128,0.0,5.444,79.6585
SRR6911635,hg38,3901032,1367710,35.060209708610444,76.05,5.1,6.05,1367707,807899,1950516,1124876,57.7,727755,97885,80.3,5.1,6.1,29970572,1950516,242834,12.4,1690190,17492,71.8,5.1,6.0,7365149,1124873,1124873,798133,0,798133,0,242834,242834,9766,0,9766,0,05.align/SRR6911635_1.clean_bismark_bt2.bam,100.0,100.0,70.9532,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911635_2.clean_bismark_bt2.bam,100.0,100.0,4.0217,0.0,100.0,0.0,0,0.0,0,0.0,325754,3.575,5.836,3.577,80.54050000000001
SRR6911636,hg38,4849994,2100627,43.31195048901091,73.85,4.4,5.3,2100627,1247883,2424997,1715275,70.7,563476,146246,77.7,4.3,5.3,45456741,2424997,385352,15.9,2013349,26296,70.0,4.5,5.3,11687309,1715275,1715275,1230240,0,1230240,0,385352,385352,17643,0,17643,0,05.align/SRR6911636_1.clean_bismark_bt2.bam,100.0,100.0,71.7226,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911636_2.clean_bismark_bt2.bam,100.0,100.0,4.5784,0.0,100.0,0.0,0,0.0,0,0.0,488724,2.9615,1.8,2.1100000000000003,76.73349999999999
SRR6911637,hg38,9738644,4383995,45.01648278754208,79.25,4.0,4.75,4383995,2598558,4869322,3567685,73.3,993020,308617,82.9,3.7,4.5,93739423,4869322,816310,16.8,3996017,56995,75.6,4.3,5.0,24414996,3567685,3567685,2561897,0,2561897,0,816310,816310,36661,0,36661,0,05.align/SRR6911637_1.clean_bismark_bt2.bam,100.0,100.0,71.8084,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911637_2.clean_bismark_bt2.bam,100.0,100.0,4.4911,0.0,100.0,0.0,0,0.0,0,0.0,730934,1.5555,0.6025,2.2805,86.6105
SRR6911638,hg38,6243944,2651940,42.47219385695964,71.25,1.3,1.25,2651939,1607699,3121972,2192309,70.2,754075,175588,74.5,0.8,0.8,59303872,3121972,459631,14.7,2632267,30074,68.0,1.8,1.7,14026556,2192309,2192309,1586739,0,1586739,0,459630,459630,20960,0,20960,0,05.align/SRR6911638_1.clean_bismark_bt2.bam,100.0,100.0,72.3775,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911638_2.clean_bismark_bt2.bam,100.0,100.0,4.5602,0.0,100.0,0.0,0,0.0,0,0.0,517845,9.283,4.969,0.457,76.14150000000001
SRR6911639,hg38,7195772,3266862,45.399743071348006,73.65,2.35,2.6,3266862,1803331,3597886,2451939,68.1,942652,203295,77.7,2.1,2.4,65648059,3597886,814923,22.7,2729183,53780,69.6,2.6,2.8,24413835,2451939,2451939,1765275,0,1765275,0,814923,814923,38056,0,38056,0,05.align/SRR6911639_1.clean_bismark_bt2.bam,100.0,100.0,71.9951,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911639_2.clean_bismark_bt2.bam,100.0,100.0,4.6699,0.0,100.0,0.0,0,0.0,0,0.0,589664,5.0455,8.676,0.8995,82.348
SRR6911640,hg38,6479760,2942786,45.415046236280354,77.19999999999999,5.1,5.9,2942786,1757403,3239880,2407559,74.3,643176,189145,81.3,4.9,5.8,64242312,3239880,535227,16.5,2669082,35571,73.1,5.3,6.0,15925032,2407559,2407559,1735114,0,1735114,0,535227,535227,22289,0,22289,0,05.align/SRR6911640_1.clean_bismark_bt2.bam,100.0,100.0,72.0694,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911640_2.clean_bismark_bt2.bam,100.0,100.0,4.1644,0.0,100.0,0.0,0,0.0,0,0.0,562547,3.095,2.114,4.275,84.49350000000001
SRR6911641,hg38,10421812,5116533,49.09446649008829,72.8,1.1,1.0,5116531,3015479,5210906,3919165,75.2,951488,340253,77.3,0.7,0.7,108143929,5210906,1197368,23.0,3931945,81593,68.3,1.5,1.3,36027908,3919164,3919164,2963089,0,2963089,0,1197367,1197367,52390,0,52390,0,05.align/SRR6911641_1.clean_bismark_bt2.bam,100.0,100.0,75.6051,0.0,100.0,0.0,0,0.0,0,0.0,05.align/SRR6911641_2.clean_bismark_bt2.bam,100.0,100.0,4.3754,0.0,100.0,0.0,0,0.0,0,0.0,889393,3.0395,3.9475,0.255,74.93299999999999
