cell_id,hcg_loci,mCG,covCG,mCGFrac
SRR6911661,6032444,6337833,8232379,0.7698665233949992
SRR6911655,4710178,4355563,6046619,0.7203303201342767
SRR6911650,3786171,3755969,4928535,0.7620862994784454
SRR6911660,3403770,3355668,4274240,0.7850911507074942
SRR6911659,3345784,3259896,4238771,0.7690663166280981
SRR6911656,3292598,3161465,4134704,0.7646170076503662
SRR6911641,3263419,2975827,3942205,0.7548635852270493
SRR6911670,3165571,3318845,4261386,0.7788182060953878
SRR6911648,3146403,2974966,3945535,0.754008265038835
SRR6911669,3103738,3046634,3986291,0.7642778713345313
SRR6911671,3079288,2812357,4081546,0.6890420933636421
SRR6911699,3002707,3014781,3713905,0.8117550125810973
SRR6911654,2977076,2602356,3600321,0.722812215910748
SRR6911696,2824886,2768232,3460342,0.7999879780669078
SRR6911693,2808443,2924559,3576019,0.817825352717645
SRR6911657,2796915,2789803,3521000,0.792332575972735
SRR6911765,2785782,2748418,3200878,0.8586450342687225
SRR6911717,2785316,2845444,3225198,0.8822540507590542
SRR6911697,2713503,2861999,3524714,0.8119804897645596
SRR6911692,2692879,2576100,3203855,0.8040626058295397
SRR6911651,2690537,2381597,3369110,0.7068920278649258
SRR6911706,2627913,2538924,2986129,0.8502392227529353
SRR6911658,2613720,2603277,3256073,0.7995143229282636
SRR6911743,2611928,2561925,3013692,0.85009516566391
SRR6911637,2600210,2687481,3272757,0.8211672910637728
SRR6911690,2578513,2460939,3104606,0.7926735308763817
SRR6911653,2576440,2315852,3060656,0.756652168685406
SRR6911704,2573185,2532634,2953894,0.8573882475132825
SRR6911673,2499381,2539364,3148813,0.8064511928780782
SRR6911668,2498189,2524939,3183633,0.7930998956223911
SRR6911703,2475004,2415871,2836154,0.8518123486947464
SRR6911695,2428044,2386337,2930060,0.8144328102496194
SRR6911667,2411409,2259051,2988500,0.7559146729128325
SRR6911766,2394656,2223088,2738411,0.8118167798770893
SRR6911642,2390141,1988701,2850131,0.697757752187531
SRR6911691,2385160,2247339,2821409,0.7965307404917189
SRR6911652,2375651,2259457,2756311,0.8197394996428197
SRR6911647,2343105,2361380,2898108,0.8148005526364097
SRR6911708,2337941,2244174,2626918,0.8542992206075714
SRR6911664,2336399,2394857,2900978,0.8255343542763854
SRR6911748,2327054,2237551,2621000,0.8537012590614269
SRR6911680,2304402,2286155,2969750,0.7698139574038219
SRR6911731,2288704,2245278,2590232,0.8668250565972468
SRR6911639,2286635,2109493,2770030,0.7615415717519305
SRR6911722,2284643,2151681,2578623,0.8344302366030242
SRR6911720,2275734,2173782,2596007,0.8373559855578201
SRR6911649,2268623,1983812,2750789,0.7211792689297507
SRR6911709,2266601,2150644,2561161,0.8397144888587637
SRR6911643,2252778,2021790,2648085,0.7634913531854152
SRR6911730,2219416,2031853,2503579,0.8115793430125432
SRR6911755,2196373,2058527,2501888,0.8227894294228998
SRR6911754,2187320,2144248,2498115,0.858346393180458
SRR6911683,2181510,1965532,2655486,0.7401778808097651
SRR6911753,2176686,2003468,2465372,0.8126432846645456
SRR6911736,2172326,2106982,2449159,0.8602879600711918
SRR6911741,2164359,1984386,2448505,0.8104480080702307
SRR6911724,2155575,1948945,2417460,0.8061953455279508
SRR6911681,2149283,1924172,2564642,0.7502692383576344
SRR6911694,2148106,2038033,2625298,0.7763053946637677
SRR6911714,2141261,2021257,2418323,0.8358093604535044
SRR6911774,2118020,2051973,2385719,0.8601067435016446
SRR6911705,2107362,1961993,2357506,0.8322324524306619
SRR6911711,2099774,2040401,2349995,0.8682575920374299
SRR6911759,2095701,1997687,2335461,0.8553715947301197
SRR6911745,2095672,1905972,2392335,0.7966994588968518
SRR6911682,2088237,1990781,2631168,0.7566149329879354
SRR6911700,2074473,1988817,2323816,0.8558409960168963
SRR6911764,2074406,1842281,2327250,0.7916128477817166
SRR6911756,2068284,1888858,2316819,0.8152807793789675
SRR6911758,2067989,1981867,2303270,0.860457957599413
SRR6911767,2062823,1887932,2346543,0.8045588766112532
SRR6911640,2059472,1971726,2470537,0.7980961224219674
SRR6911732,2050570,1860188,2293167,0.8111873230340398
SRR6911723,2048170,1874492,2298343,0.815584096890673
SRR6911775,2041139,1886666,2296955,0.8213769969372495
SRR6911702,2040175,1854657,2267900,0.8177860575863133
SRR6911721,2027124,1831438,2287720,0.8005516409350795
SRR6911740,2024452,1973829,2292320,0.8610617191317094
SRR6911627,2021706,1937115,2453048,0.7896767613189795
