cell_id,hcg_loci,mCG,covCG,mCGFrac
SRR6911788,4588334,4096245,5595695,0.732035073391241
SRR6911834,4311656,3712765,5307769,0.6994963420601009
SRR6911816,2628595,2220028,3030277,0.7326155331674299
SRR6911833,2542275,2132898,2960148,0.7205376217675603
SRR6911819,2514935,2203551,2855296,0.7717417038373605
SRR6911835,2457266,2094276,2860032,0.7322561425886144
SRR6911787,2453871,2293200,2799460,0.8191579804676616
SRR6911797,2441123,2077325,2778204,0.7477222694949687
SRR6911796,2427247,2113473,2761557,0.7653193470205395
SRR6911794,2412107,2157562,2744434,0.7861591861928543
SRR6911786,2373613,2017272,2704893,0.7457862473672711
SRR6911790,2328199,2151924,2651869,0.8114744732865764
SRR6911811,2323244,2008987,2629089,0.7641380721611174
SRR6911864,2171359,1800779,2429861,0.7411037092245194
SRR6911795,2150662,1832224,2433105,0.7530394290423142
SRR6911789,2138511,1954141,2425083,0.8058037601187258
SRR6911784,2130841,1824026,2415301,0.7551961432550228
SRR6911804,2106342,1762504,2356946,0.7477914216108472
SRR6911815,2065792,1726707,2357288,0.7324972595626839
SRR6911800,2056873,1714953,2324997,0.7376151453098649
SRR6911793,2035860,1762341,2294867,0.7679490794019871
SRR6911818,2032673,1558679,2318194,0.6723678001064621
SRR6911785,2000028,1684082,2261420,0.7447011169972849
SRR6911801,1980413,1653928,2207554,0.749212929785636
SRR6911803,1979327,1696367,2203950,0.7696939585743778
SRR6911807,1971664,1676462,2201695,0.7614415257335825
SRR6911828,1928545,1687097,2185116,0.7720857840041444
SRR6911798,1904540,1656092,2143799,0.7725033923422858
SRR6911809,1900048,1590853,2132829,0.7458886764949276
SRR6911820,1882100,1566885,2090474,0.7495357512219717
SRR6911841,1819318,1736598,2084488,0.833105299718684
SRR6911813,1800755,1530768,2026067,0.7555367122607495
SRR6911808,1799247,1602209,1996864,0.8023626045639562
SRR6911847,1792085,1656212,2033613,0.8144184758850381
SRR6911829,1782947,1600753,2015820,0.7940952069133157
SRR6911832,1767499,1526791,2019185,0.7561422058900001
SRR6911831,1763324,1609996,1995939,0.8066358741424462
SRR6911802,1756934,1462569,1946927,0.7512192290722765
SRR6911836,1744689,1538089,1993655,0.7714920585557682
SRR6911866,1739616,1410318,1932887,0.7296432745421745
SRR6911842,1726540,1518125,1982276,0.7658494578958732
SRR6911838,1696526,1565226,1936187,0.8084064194212646
SRR6911814,1673650,1436025,1871600,0.7672713186578328
SRR6911837,1666209,1439009,1903084,0.7561458138474182
SRR6911799,1610026,1406081,1806839,0.7781993857781463
SRR6911859,1608120,1382318,1752803,0.7886328355211624
SRR6911839,1593292,1473352,1818007,0.8104215220293431
SRR6911868,1586572,1316956,1725974,0.7630219226940846
SRR6911867,1580439,1271057,1752091,0.7254514748377795
SRR6911865,1547544,1264911,1712028,0.7388377993817858
SRR6911840,1530298,1327645,1745524,0.7605996823876383
SRR6911817,1529445,1207190,1735268,0.6956792841221068
SRR6911812,1526903,1311215,1710048,0.7667708742678568
SRR6911791,1519041,1365906,1705182,0.8010323824670915
SRR6911810,1480598,1277945,1649488,0.7747525292696885
SRR6911824,1472576,1246617,1611323,0.7736605261639038
SRR6911830,1472302,1263350,1658346,0.7618132766021084
SRR6911779,1466787,1224209,1635146,0.7486848269206542
SRR6911846,1439782,1261857,1621909,0.7780072741442338
SRR6911822,1438859,1264918,1570536,0.8054052883856212
SRR6911871,1426568,1189446,1545277,0.7697299578004462
SRR6911805,1421617,1180064,1569045,0.7520906028826452
SRR6911845,1418462,1244651,1595271,0.7802128917281139
SRR6911825,1393408,1257867,1559219,0.8067288815746858
SRR6911860,1379787,1152465,1501744,0.7674177489638714
SRR6911857,1377271,1189348,1495918,0.7950622961953797
SRR6911852,1362576,1129526,1476308,0.7651018622130341
SRR6911862,1354919,1144620,1473423,0.7768441241924416
SRR6911848,1345599,1193072,1516322,0.786819686056128
SRR6911821,1337185,1104700,1472649,0.7501448070789442
SRR6911861,1323658,1183250,1436020,0.8239787746688765
SRR6911780,1313323,1097061,1461453,0.7506645783340279
SRR6911782,1293369,1078835,1439069,0.7496756583596756
SRR6911869,1288428,1046972,1397494,0.7491781717846373
SRR6911844,1275995,1074614,1434908,0.748907943923931
SRR6911851,1267742,1126983,1370602,0.8222540168480711
SRR6911778,1255691,1077493,1390891,0.7746782458150926
SRR6911854,1251343,1133915,1356146,0.8361304756272555
SRR6911849,1236064,1017439,1336937,0.7610223967172723
SRR6911853,1234455,1098056,1337619,0.8209034112105166
SRR6911827,1232807,1024177,1383970,0.7400283243133883
SRR6911792,1208157,975821,1362605,0.7161437100260163
SRR6911826,1199453,1013550,1337393,0.7578550209250385
SRR6911783,1181878,992296,1310672,0.7570894930234261
SRR6911850,1168517,967647,1264395,0.7653043550472756
SRR6911781,1144954,970621,1271169,0.7635656627875601
SRR6911863,1095083,937641,1183110,0.7925222506782971
SRR6911855,1087346,903586,1173738,0.7698361985383451
SRR6911777,1078478,901750,1191181,0.7570218128059464
SRR6911823,1065027,935484,1161613,0.8053318962511611
SRR6911858,1057120,865754,1143559,0.7570698145001701
SRR6911856,1022895,862293,1100586,0.7834853432625892
SRR6911806,1009269,865095,1106707,0.781683860317139
SRR6911872,879684,747731,948354,0.7884513588807555
SRR6911843,722030,654132,815784,0.8018446059250979
SRR6911870,688417,585288,738912,0.7920943224632974
