Metric,MetricLabel,MethylHiC_N,MethylHiC_Median,MethylHiC_Mean,MethylHiC_Std,MethylHiC-new_N,MethylHiC-new_Median,MethylHiC-new_Mean,MethylHiC-new_Std,snmC-seq3_N,snmC-seq3_Median,snmC-seq3_Mean,snmC-seq3_Std,scNOME-HiC_N,scNOME-HiC_Median,scNOME-HiC_Mean,scNOME-HiC_Std,Smallwood_N,Smallwood_Median,Smallwood_Mean,Smallwood_Std,scNOMe_N,scNOMe_Median,scNOMe_Mean,scNOMe_Std,snmC-seq2_N,snmC-seq2_Median,snmC-seq2_Mean,snmC-seq2_Std,Nagano_N,Nagano_Median,Nagano_Mean,Nagano_Std,DropletHiC_N,DropletHiC_Median,DropletHiC_Mean,DropletHiC_Std
InputReads,Input Reads,59,39960986.0,55687596.74576271,50320926.10705148,96,475786.0,2403442.8958333335,5647870.49694086,100,3505824.0,3600865.04,1660337.5775536995,188,13627870.0,14068215.287234042,4904858.678088555,51,37241960.0,34185414.431372546,15567171.382311115,41,17458908.0,23895139.658536587,11119734.812551988,249,5130932.0,5742038.136546184,2997315.14259097,15,8779172.0,14406132.266666668,14546511.971094178,687731,32.0,3225.099249561238,43225.39637869125
MapQ30Rate,MapQ≥30 Rate (%),59,6.946661492327438,8.316860500415768,3.4276006428303587,96,18.225023878487043,20.764755072545025,10.171262488345848,100,64.68989500372496,64.3317672066169,2.3806001801466654,188,62.356527749451416,62.04793318545192,6.3081195297529815,51,68.5660099563662,71.48130797877377,6.163918226204154,41,62.28205200683304,62.29105285782838,1.307322242497184,249,37.9269,38.02466807228916,2.059041038278063,15,78.06863346205718,80.34833684806158,6.147466875378058,687731,49.25373134328358,47.60420651970176,30.311968450084965
DupRate,Duplication Rate (%),59,25.336380262949596,27.128700305022953,17.254280864627344,96,8.771281165821176,11.63684019036946,10.955083047678778,100,27.049209520631628,27.27492948401742,5.935242801384824,188,62.08791738397875,61.43315553840169,5.347778728015686,51,21.498648793943058,25.35957891806991,12.122724535587418,41,68.53936379345168,68.82087936047934,12.345791150571038,249,0.0,0.0,0.0,15,0.0,-0.18482707782779817,0.7158321943552444,687731,0.0,0.0,0.0
FinalMappedReads,Final Mapped Reads,59,943090.0,1909196.6440677966,2225747.157765879,96,73253.0,345394.46875,904210.8421989448,100,1824561.0,1813415.15,698434.9504495909,188,2438660.5,2623535.936170213,1070045.8429097536,51,4421133.0,4775740.784313725,3114172.751937582,41,6229566.0,7505902.780487805,3458110.0994978636,249,1279625.0,1492009.9196787148,859940.0766657082,15,8243554.0,13808450.466666667,14431888.928573593,687731,6.0,979.9818998998155,13282.278667443108
mCG_Rate,mCG Rate (%),59,57.274119448698315,52.956962119702084,16.588467129018337,96,54.910724051838834,55.30154804485347,2.3857777791098385,100,75.98343172949686,76.18485773952955,2.6103826809930024,188,54.88495713490077,54.77323468642383,2.6260894829764907,51,40.3,45.24117647058823,20.872117060524438,41,38.099999999999994,43.232926829268294,9.636354405038878,249,77.95,77.90582329317267,4.017664652378465,0,,,,0,,,
mCH_Rate,mCH Rate (%),59,2.3067495365995403,2.6705797404059535,1.8215379023322265,96,2.5276977986883553,3.77008215872063,4.619457846984064,100,2.39002492793727,2.3849730007816654,0.7544682693426442,188,16.359750391266168,16.39862683324859,1.4641914074441218,51,3.1500000000000004,7.302941176470589,12.119473634464105,41,9.7,9.44390243902439,5.154881729025789,249,3.325,3.8639558232931726,3.33870093079608,0,,,,0,,,
mCCC_Rate,mCCC Rate (%),59,1.91685004007697,2.379308461809725,1.8579688287782223,96,1.89377505925628,2.840707329987843,3.6702941223528422,100,0.659842127833355,0.6651524187102702,0.10367816396612288,188,17.714805403326928,17.679568848222466,1.4988947576997877,0,,,,0,,,,0,,,,0,,,,0,,,
LambdaConvProxy,BS Conv. Proxy (%),59,0.0,0.0,0.0,96,0.0,0.0,0.0,100,0.0,0.0,0.0,188,0.0,0.0,0.0,48,0.361,0.5229166666666666,0.4211165924030578,41,0.0,0.0,0.0,249,0.0,0.0,0.0,0,,,,0,,,
NonCG_rate,Non-CG Meth. (chrM+chr21 ACT %),0,,,,0,,,,0,,,,0,,,,51,0.796,1.48478431372549,1.5976885092373354,41,0.34450000000000003,0.3525,0.05078213268463624,153,2.507,2.40490522875817,1.4466457286822456,0,,,,0,,,
GCH_rate,"GCH Meth. (NOMe, chr21 GCT %)",0,,,,0,,,,0,,,,0,,,,51,0.723,1.3136666666666668,1.737375810429818,41,12.808,11.960439024390245,6.086044307671365,153,1.983,1.994186274509804,1.1388714821710468,0,,,,0,,,
