,Dataset,R1InputReads,R1InputReadsBP,R1WithAdapters,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1UniqueMappedReadsMapQ30,R1DeduppedReads,R1DeduppedReadsMapQ30,R2InputReads,R2InputReadsBP,R2WithAdapters,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2UniqueMappedReadsMapQ30,R2DeduppedReads,R2DeduppedReadsMapQ30,CisShortContact,CisLongContact,TransContact,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYCov,LambdaCYFrac,FinalmCReads,CellInputReadPairs,R1MappingRate,R2MappingRate,R1DuplicationRate,R2DuplicationRate,R1MappingRateMapQ30,R2MappingRateMapQ30,TotalContacts,CisShortRatio,CisLongRatio,TransRatio
SRR7770877,MethylHiC,14838585,1494161675,8785136,6077289,7342077,567955506,0.4947963030167634,1103479,733552,902482,579396,14838585,1495874233,8512494,29689737,7424211,569023131,0.5003314669154775,998682,727108,698258,520171,361332,33947,25816,184689,20260565,0.0091156885308973,186165,1085089,0.1715665719586135,10324,1291811,0.0079918811652788,0.0351294692461821,0,0,1600740,14838585,15.0295209380125,13.451692038386302,18.21484595538293,30.082048139447792,9.991069284617964,9.79374104534475,421095,0.8580771559861788,0.0806160130136905,0.0613068310001306
SRR7770833,MethylHiC,78797615,7926846995,67846425,18897820,23121458,1430384045,0.2934283988163855,4251403,2562452,3438533,2068671,78797615,7940956931,67479100,30183090,23570428,1470554122,0.2991261601001502,3701339,2849352,2990734,2308488,1892580,94589,60609,5663624,89215976,0.0634821727444869,2558940,4132350,0.6192457076481905,367598,6070704,0.0605527793811063,0.1340252411280003,0,0,6429267,78797615,18.38726173755997,15.703316885039168,19.120041078204064,19.19859272549744,11.082571003956584,12.08867314585887,2047778,0.9242115112087346,0.0461910421930502,0.0295974465982152
SRR7770878,MethylHiC,45416709,4574089846,20338119,18408826,28177716,2278240933,0.6204261960064081,1802891,1190613,1379191,871972,45416709,4577603374,19968446,102556824,27876868,2220514210,0.6138020260340749,1978197,1425569,1103590,831165,586112,46609,38767,317102,31209932,0.0101602912816343,389924,1643526,0.2372484524126785,20657,1982638,0.0104189468778465,0.0531952149431092,0,0,2482781,45416709,6.398286504129717,7.096195311467558,23.50114344128402,44.21233072338093,4.2253708568856325,5.1138061851137655,671488,0.872855508959207,0.069411515916889,0.0577329751239039
SRR7770875,MethylHiC,17287964,1740927545,9078705,7403150,9826893,767005470,0.5684239624747021,1275377,845539,998298,633615,17287964,1742624202,8720550,39347584,9902016,765309072,0.572769355604859,1196990,870953,750650,568220,384618,37985,26813,221372,21951779,0.0100844674137799,240983,1195116,0.2016398408187991,13448,1417637,0.0094862083876196,0.0378063528954252,0,0,1748948,17287964,12.97843580875461,12.088346453893834,21.725262412604277,37.28853206793708,8.604337098205914,8.795713923306122,449416,0.8558173273759724,0.0845208003275361,0.0596618722964914
SRR7770869,MethylHiC,36845468,3714476119,14409079,22509366,24222452,1981906433,0.6574065499724416,1895487,1324559,1202718,760995,36845468,3718153724,14261302,85966487,24093946,1947072883,0.6539188483099196,2628205,1818002,918000,685916,479637,41236,44912,503080,26705889,0.0188377926681264,464216,1352319,0.3432740351943587,31926,1665545,0.0191685004007697,0.0462789495293234,0,0,2120718,36845468,7.825330812916875,10.908155102530737,36.5483382370863,65.07121780835209,5.468310970334465,7.54547221115213,565785,0.8477372146663485,0.072882808840814,0.0793799764928373
SRR7770827,MethylHiC,43156835,4343626148,36856645,8515377,11622272,760417583,0.269303159047692,3120121,1876464,2476129,1485136,43156835,4350424725,36734085,12615512,11856586,776531975,0.2747325191942366,2821688,2101144,2239202,1672263,1431896,80336,48161,3829071,66526865,0.0575567629708689,1716911,3067120,0.5597795325908344,248417,4445528,0.055880201406897,0.103426206491671,0,0,4715331,43156835,26.84605041079748,23.79848634337068,20.63996877044192,20.643175290818828,16.14541459707706,17.721323827955196,1560393,0.9176508738503696,0.0514844657724047,0.0308646603772254
SRR7770867,MethylHiC,18194948,1832343925,14084971,4774270,6368322,445341557,0.3500049574200486,563045,377020,456949,292002,18194948,1834486342,13815718,25157520,6410453,444858770,0.3523204902811483,585541,425659,371578,279223,179747,12832,26132,239050,10363067,0.0230674953659954,375804,518547,0.7247250490312354,11300,649728,0.0173918932230102,0.0183682879136162,0,0,828527,18194948,8.841339995056781,9.134159473597265,18.843254091591252,36.54107910462291,5.920240842093097,6.640076762125859,218711,0.8218470950249416,0.0586710316353544,0.1194818733397039
SRR7770838,MethylHiC,10581738,1064112028,9513347,1728922,3103021,176893869,0.2932430381474196,485410,290147,457948,271980,10581738,1066068036,9422011,4472447,3180205,183056147,0.3005371140355204,426886,326416,406220,310322,249436,11865,8553,113595,11671113,0.0097330048985045,324610,550460,0.5897067906841551,4393,785207,0.0055947030528255,0.0198611928675637,0,0,864168,10581738,15.643142601999791,13.423222716774546,5.657485424692532,4.841105119399558,9.350468462830255,10.263992415583273,269854,0.9243368636373744,0.0439682198522163,0.0316949165104093
SRR7770835,MethylHiC,68921042,6931582759,60760611,7546387,19550074,1176947280,0.2836590021375474,4232084,2548164,3465990,2084244,68921042,6945451875,60502058,19909201,19899021,1201481607,0.2887219987184755,3721860,2870440,3048195,2357882,1946256,107047,65683,5791653,91113341,0.0635653674471228,2444323,4405089,0.5548861782361264,368534,6271807,0.0587604178508681,0.1350338384653867,0,0,6514185,68921042,21.64740655201612,18.703734218884435,18.10205090447165,18.100224081507637,13.034037620522565,14.425031261588195,2118986,0.918484595934093,0.0505180307939741,0.0309973732719328
SRR7770856,MethylHiC,26114973,2630614976,15546119,9924112,13168212,1007277940,0.5042399239700535,838554,596318,545326,345526,26114973,2634664714,14665305,67106763,13257990,1002109195,0.5076777218954046,1127168,845279,392270,355016,186116,16980,25600,300255,10378524,0.0289304143826231,360014,523133,0.6881882809916408,17476,652753,0.026772760906499,0.0185892807136978,0,0,937596,26114973,6.368017161327597,8.501801555137694,34.96829065271885,65.1986216784011,4.528465975487029,6.375619532070849,228696,0.8138139713855949,0.0742470353657256,0.1119389932486794
