Metric,MethylHiC_N,MethylHiC_Median,MethylHiC_Mean,MethylHiC_Std,MethylHiC_Min,MethylHiC_Max,snm3C-seq_N,snm3C-seq_Median,snm3C-seq_Mean,snm3C-seq_Std,snm3C-seq_Min,snm3C-seq_Max
CellInputReadPairs,59,19980493.0,27843798.372881357,25160463.05352574,7944.0,124590656.0,100,1752912.0,1800432.52,830168.7887768497,136693.0,4105098.0
CisLongContact,59,19286.0,34102.83050847457,36267.11323763538,3.0,152676.0,100,10576.0,10831.98,4621.340712325152,761.0,25368.0
CisLongRatio,59,0.0722223344529882,0.06784412241624309,0.01888633741134161,0.0142180094786729,0.0971009726709632,100,0.01320059902821765,0.013405116354539129,0.0016488140263314975,0.009417317835627,0.0189440527973601
CisShortRatio,59,0.8580771559861788,0.8641232755718281,0.047654955601201726,0.7966379327006706,0.9478672985781992,100,0.9720442217097607,0.9716053003972803,0.002747137486597908,0.9537414386686294,0.9781055634934216
FinalmCReads,59,943090.0,1909196.6440677966,2225747.157765879,462.0,9014464.0,100,1824561.0,1813415.15,698434.9504495909,123296.0,3495023.0
GenomeCov,59,0.0213144057345257,0.04024976560346187,0.04562059696888127,1.074125862637445e-05,0.1815815003549852,100,0.0682590360978259,0.06736643401990791,0.024778411845576945,0.0046899466763465,0.1246909822870357
LambdaCYFrac,59,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0
R1DuplicationRate,59,18.843254091591252,20.19550903873963,11.90823554365572,1.098901098901095,43.37343830619594,100,26.882404802664205,27.122817933214588,5.815099424456314,18.3826576434323,40.41832097724372
R1MappingRate,59,10.07056346412175,12.401067137005391,6.131252239606639,5.61535487314533,30.821801474759603,100,75.90704414484497,75.5176783145266,2.5620894134367225,59.69450506673514,80.5905979067764
R1MappingRateMapQ30,59,6.701183098497479,7.838511121425563,3.4267597980316755,4.078977301044516,18.090385140303063,100,68.39357696704224,68.06490860581444,2.5601384794660573,53.09201290392046,73.0852021738732
R1TrimmedReads,59,9235146.0,11026875.152542373,8504990.38274867,2685.0,32559220.0,100,1703016.0,1768837.05,820006.2263822292,135589.0,4026115.0
R2DuplicationRate,59,31.94161054752485,34.06189157130628,23.075353257660176,1.8823529411764683,70.96395252283496,100,27.216014238599048,27.42704103482026,6.056421261380682,18.27496255235028,41.461356076734255
R2MappingRate,59,10.451461713600327,11.726277173073074,4.541994216480501,6.251993620414672,28.509309073681383,100,69.61973783717859,69.16509554273458,2.401683221686858,54.50226572037493,74.35230832030403
R2MappingRateMapQ30,59,7.336552222829643,8.795209879405972,3.5039955808130823,5.103668261562999,22.03803008208908,100,60.91632970962286,60.598625807419346,2.2535722552719912,47.2550642471394,65.40339141800294
R2TrimmedReads,59,9277046.0,11143807.338983051,8575100.77258234,2883.0,33238203.0,100,1704288.5,1769818.76,820395.2500681648,135371.0,4027404.0
TotalContacts,59,251531.0,570927.186440678,750576.4252981578,117.0,3081120.0,100,813082.0,815574.26,330355.98792268947,54347.0,1644768.0
TransContact,59,23611.0,27306.661016949154,20926.228739608567,5.0,89783.0,100,11717.5,12211.33,5280.999234065654,810.0,26068.0
TransRatio,59,0.0644210851145551,0.06803260201192872,0.03226062929013687,0.0284290681821546,0.1217980010333339,100,0.014868323307547,0.01498958324818049,0.0017419123239221445,0.0105194623385915,0.028047104049829
mCCCFrac,59,0.0191685004007697,0.02379308461809725,0.018579688287782222,0.0,0.0786062932880597,100,0.00659842127833355,0.006651524187102702,0.0010367816396612288,0.004443692540648,0.0089484066000334
mCGFrac,59,0.5727411944869831,0.5295696211970207,0.1658846712901834,0.1502726790060182,0.7405316091954023,100,0.7598343172949686,0.7618485773952957,0.026103826809930022,0.698504775405126,0.8118035803343497
mCHFrac,59,0.0230674953659954,0.026705797404059543,0.018215379023322268,0.0070877437354603,0.0777102698765779,100,0.0239002492793727,0.023849730007816653,0.007544682693426443,0.0070178445924519,0.0423362611113277
