,Dataset,R1InputReads,R1InputReadsBP,R1WithAdapters,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1UniqueMappedReadsMapQ30,R1DeduppedReads,R1DeduppedReadsMapQ30,R2InputReads,R2InputReadsBP,R2WithAdapters,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2UniqueMappedReadsMapQ30,R2DeduppedReads,R2DeduppedReadsMapQ30,CisShortContact,CisLongContact,TransContact,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYCov,LambdaCYFrac,FinalmCReads,CellInputReadPairs,R1MappingRate,R2MappingRate,R1DuplicationRate,R2DuplicationRate,R1MappingRateMapQ30,R2MappingRateMapQ30,TotalContacts,CisShortRatio,CisLongRatio,TransRatio
SRR7770877,MethylHiC,14838585.0,1494161675.0,8785136.0,6077289.0,7342077.0,567955506.0,0.4947963030167634,1103479.0,733552.0,902482.0,579396.0,14838585.0,1495874233.0,8512494.0,29689737.0,7424211.0,569023131.0,0.5003314669154775,998682.0,727108.0,698258.0,520171.0,361332.0,33947.0,25816.0,184689.0,20260565.0,0.0091156885308973,186165.0,1085089.0,0.1715665719586135,10324.0,1291811.0,0.0079918811652788,0.0351294692461821,0.0,0.0,1600740.0,14838585.0,15.0295209380125,13.451692038386302,18.21484595538293,30.082048139447792,9.991069284617964,9.79374104534475,421095.0,0.8580771559861788,0.0806160130136905,0.0613068310001306
SRR7770833,MethylHiC,78797615.0,7926846995.0,67846425.0,18897820.0,23121458.0,1430384045.0,0.2934283988163855,4251403.0,2562452.0,3438533.0,2068671.0,78797615.0,7940956931.0,67479100.0,30183090.0,23570428.0,1470554122.0,0.2991261601001502,3701339.0,2849352.0,2990734.0,2308488.0,1892580.0,94589.0,60609.0,5663624.0,89215976.0,0.0634821727444869,2558940.0,4132350.0,0.6192457076481905,367598.0,6070704.0,0.0605527793811063,0.1340252411280003,0.0,0.0,6429267.0,78797615.0,18.38726173755997,15.703316885039168,19.120041078204064,19.19859272549744,11.082571003956584,12.08867314585887,2047778.0,0.9242115112087346,0.0461910421930502,0.0295974465982152
SRR7770878,MethylHiC,45416709.0,4574089846.0,20338119.0,18408826.0,28177716.0,2278240933.0,0.6204261960064081,1802891.0,1190613.0,1379191.0,871972.0,45416709.0,4577603374.0,19968446.0,102556824.0,27876868.0,2220514210.0,0.6138020260340749,1978197.0,1425569.0,1103590.0,831165.0,586112.0,46609.0,38767.0,317102.0,31209932.0,0.0101602912816343,389924.0,1643526.0,0.2372484524126785,20657.0,1982638.0,0.0104189468778465,0.0531952149431092,0.0,0.0,2482781.0,45416709.0,6.398286504129717,7.096195311467558,23.50114344128402,44.21233072338093,4.2253708568856325,5.1138061851137655,671488.0,0.872855508959207,0.069411515916889,0.0577329751239039
SRR7770875,MethylHiC,17287964.0,1740927545.0,9078705.0,7403150.0,9826893.0,767005470.0,0.5684239624747021,1275377.0,845539.0,998298.0,633615.0,17287964.0,1742624202.0,8720550.0,39347584.0,9902016.0,765309072.0,0.572769355604859,1196990.0,870953.0,750650.0,568220.0,384618.0,37985.0,26813.0,221372.0,21951779.0,0.0100844674137799,240983.0,1195116.0,0.2016398408187991,13448.0,1417637.0,0.0094862083876196,0.0378063528954252,0.0,0.0,1748948.0,17287964.0,12.97843580875461,12.088346453893834,21.725262412604277,37.28853206793708,8.604337098205914,8.795713923306122,449416.0,0.8558173273759724,0.0845208003275361,0.0596618722964914
SRR7770869,MethylHiC,36845468.0,3714476119.0,14409079.0,22509366.0,24222452.0,1981906433.0,0.6574065499724416,1895487.0,1324559.0,1202718.0,760995.0,36845468.0,3718153724.0,14261302.0,85966487.0,24093946.0,1947072883.0,0.6539188483099196,2628205.0,1818002.0,918000.0,685916.0,479637.0,41236.0,44912.0,503080.0,26705889.0,0.0188377926681264,464216.0,1352319.0,0.3432740351943587,31926.0,1665545.0,0.0191685004007697,0.0462789495293234,0.0,0.0,2120718.0,36845468.0,7.825330812916875,10.908155102530737,36.5483382370863,65.07121780835209,5.468310970334465,7.54547221115213,565785.0,0.8477372146663485,0.072882808840814,0.0793799764928373
SRR7770827,MethylHiC,43156835.0,4343626148.0,36856645.0,8515377.0,11622272.0,760417583.0,0.269303159047692,3120121.0,1876464.0,2476129.0,1485136.0,43156835.0,4350424725.0,36734085.0,12615512.0,11856586.0,776531975.0,0.2747325191942366,2821688.0,2101144.0,2239202.0,1672263.0,1431896.0,80336.0,48161.0,3829071.0,66526865.0,0.0575567629708689,1716911.0,3067120.0,0.5597795325908344,248417.0,4445528.0,0.055880201406897,0.103426206491671,0.0,0.0,4715331.0,43156835.0,26.84605041079748,23.79848634337068,20.63996877044192,20.643175290818828,16.14541459707706,17.721323827955196,1560393.0,0.9176508738503696,0.0514844657724047,0.0308646603772254
SRR7770867,MethylHiC,18194948.0,1832343925.0,14084971.0,4774270.0,6368322.0,445341557.0,0.3500049574200486,563045.0,377020.0,456949.0,292002.0,18194948.0,1834486342.0,13815718.0,25157520.0,6410453.0,444858770.0,0.3523204902811483,585541.0,425659.0,371578.0,279223.0,179747.0,12832.0,26132.0,239050.0,10363067.0,0.0230674953659954,375804.0,518547.0,0.7247250490312354,11300.0,649728.0,0.0173918932230102,0.0183682879136162,0.0,0.0,828527.0,18194948.0,8.841339995056781,9.134159473597265,18.843254091591252,36.54107910462291,5.920240842093097,6.640076762125859,218711.0,0.8218470950249416,0.0586710316353544,0.1194818733397039
SRR7770838,MethylHiC,10581738.0,1064112028.0,9513347.0,1728922.0,3103021.0,176893869.0,0.2932430381474196,485410.0,290147.0,457948.0,271980.0,10581738.0,1066068036.0,9422011.0,4472447.0,3180205.0,183056147.0,0.3005371140355204,426886.0,326416.0,406220.0,310322.0,249436.0,11865.0,8553.0,113595.0,11671113.0,0.0097330048985045,324610.0,550460.0,0.5897067906841551,4393.0,785207.0,0.0055947030528255,0.0198611928675637,0.0,0.0,864168.0,10581738.0,15.643142601999791,13.423222716774546,5.657485424692532,4.841105119399558,9.350468462830255,10.263992415583273,269854.0,0.9243368636373744,0.0439682198522163,0.0316949165104093
SRR7770835,MethylHiC,68921042.0,6931582759.0,60760611.0,7546387.0,19550074.0,1176947280.0,0.2836590021375474,4232084.0,2548164.0,3465990.0,2084244.0,68921042.0,6945451875.0,60502058.0,19909201.0,19899021.0,1201481607.0,0.2887219987184755,3721860.0,2870440.0,3048195.0,2357882.0,1946256.0,107047.0,65683.0,5791653.0,91113341.0,0.0635653674471228,2444323.0,4405089.0,0.5548861782361264,368534.0,6271807.0,0.0587604178508681,0.1350338384653867,0.0,0.0,6514185.0,68921042.0,21.64740655201612,18.703734218884435,18.10205090447165,18.100224081507637,13.034037620522565,14.425031261588195,2118986.0,0.918484595934093,0.0505180307939741,0.0309973732719328
SRR7770856,MethylHiC,26114973.0,2630614976.0,15546119.0,9924112.0,13168212.0,1007277940.0,0.5042399239700535,838554.0,596318.0,545326.0,345526.0,26114973.0,2634664714.0,14665305.0,67106763.0,13257990.0,1002109195.0,0.5076777218954046,1127168.0,845279.0,392270.0,355016.0,186116.0,16980.0,25600.0,300255.0,10378524.0,0.0289304143826231,360014.0,523133.0,0.6881882809916408,17476.0,652753.0,0.026772760906499,0.0185892807136978,0.0,0.0,937596.0,26114973.0,6.368017161327597,8.501801555137694,34.96829065271885,65.1986216784011,4.528465975487029,6.375619532070849,228696.0,0.8138139713855949,0.0742470353657256,0.1119389932486794
