Metric,MethylHiC_N,MethylHiC_Median,MethylHiC_Mean,MethylHiC_Std,MethylHiC_Min,MethylHiC_Max,snm3C-seq3_N,snm3C-seq3_Median,snm3C-seq3_Mean,snm3C-seq3_Std,snm3C-seq3_Min,snm3C-seq3_Max,methylhic_new_N,methylhic_new_Median,methylhic_new_Mean,methylhic_new_Std,methylhic_new_Min,methylhic_new_Max,scnomehic_N,scnomehic_Median,scnomehic_Mean,scnomehic_Std,scnomehic_Min,scnomehic_Max
CellInputReadPairs,59,19980493.0,27843798.372881357,25160463.05352574,7944.0,124590656.0,100,1752912.0,1800432.52,830168.7887768497,136693.0,4105098.0,96,237893.0,1201721.4479166667,2823935.24847043,11532.0,17489634.0,188,6813935.0,7034107.643617021,2452429.3390442776,1980360.0,14105883.0
CisLongContact,59,19286.0,34102.83050847457,36267.11323763538,3.0,152676.0,100,10576.0,10831.98,4621.340712325152,761.0,25368.0,96,1373.5,10050.239583333334,28811.197410489658,33.0,187882.0,188,33153.0,35452.335106382976,16836.98606405932,28.0,95399.0
CisLongRatio,59,0.0722223344529882,0.06784412241624309,0.01888633741134161,0.0142180094786729,0.0971009726709632,100,0.01320059902821765,0.013405116354539129,0.0016488140263314975,0.009417317835627,0.0189440527973601,96,0.07883620787393786,0.07986121435493802,0.013704702648134058,0.0388585705832073,0.1157256182921138,188,0.0282571297232441,0.028529853862624566,0.005757332546150648,0.0049452490286117,0.0438665893195467
CisShortRatio,59,0.8580771559861788,0.8641232755718281,0.047654955601201726,0.7966379327006706,0.9478672985781992,100,0.9720442217097607,0.9716053003972803,0.002747137486597908,0.9537414386686294,0.9781055634934216,96,0.8310309600819112,0.8342869010761254,0.018207924837208327,0.7879609544468547,0.9071602340719312,188,0.9402193275607238,0.940076937143897,0.005427411224844887,0.9279507210532408,0.9814553161427058
FinalmCReads,59,943090.0,1909196.6440677966,2225747.157765879,462.0,9014464.0,100,1824561.0,1813415.15,698434.9504495909,123296.0,3495023.0,96,73253.0,345394.46875,904210.8421989448,3100.0,5153160.0,188,2438660.5,2623535.936170213,1070045.8429097536,13559.0,6871140.0
GenomeCov,59,0.0213144057345257,0.04024976560346187,0.04562059696888127,1.074125862637445e-05,0.1815815003549852,100,0.0682590360978259,0.06736643401990791,0.024778411845576945,0.0046899466763465,0.1246909822870357,96,0.0021461995943464996,0.00816411768784145,0.020037477316911984,9.422461243363049e-05,0.117012459247768,188,0.0681486957192973,0.0726744671702331,0.027421410026090606,0.0003527884924657,0.1729369598464428
LambdaCYFrac,59,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,188,0.0,0.0,0.0,0.0,0.0
R1DuplicationRate,59,18.843254091591252,20.19550903873963,11.90823554365572,1.098901098901095,43.37343830619594,100,26.882404802664205,27.122817933214588,5.815099424456314,18.3826576434323,40.41832097724372,96,11.454499575196952,15.448011021133837,14.688323303260486,0.1055223355610257,63.9181123412236,188,62.03814207421047,61.32717341411303,5.317955962818733,47.732485018865134,75.48421056847623
R1MappingRate,59,10.07056346412175,12.401067137005391,6.131252239606639,5.61535487314533,30.821801474759603,100,75.90704414484497,75.5176783145266,2.5620894134367225,59.69450506673514,80.5905979067764,96,32.86525842723848,35.567815858194045,15.25031667406952,10.73149187302373,84.22515635858235,188,71.37683383107117,70.899868972324,7.084209316490601,1.4838208964399056,81.26116494533322
R1MappingRateMapQ30,59,6.701183098497479,7.838511121425563,3.4267597980316755,4.078977301044516,18.090385140303063,100,68.39357696704224,68.06490860581444,2.5601384794660573,53.09201290392046,73.0852021738732,96,27.84978518725697,30.33486688456504,13.185362545601226,9.135967364077445,73.08914235439688,188,63.89769640848148,63.536181965119816,6.371883375996166,1.2778840760122026,72.78261075089551
