,Dataset,R1InputReads,R1InputReadsBP,R1WithAdapters,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1UniqueMappedReadsMapQ30,R1DeduppedReads,R1DeduppedReadsMapQ30,R2InputReads,R2InputReadsBP,R2WithAdapters,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2UniqueMappedReadsMapQ30,R2DeduppedReads,R2DeduppedReadsMapQ30,CisShortContact,CisLongContact,TransContact,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYCov,LambdaCYFrac,FinalmCReads,CellInputReadPairs,R1MappingRate,R2MappingRate,R1DuplicationRate,R2DuplicationRate,R1MappingRateMapQ30,R2MappingRateMapQ30,TotalContacts,CisShortRatio,CisLongRatio,TransRatio
sc_49_CKDL200165520-1a-D707-AK1680_HF2L3CCX2_L7,methylhic_new,26353.0,3952950.0,5233.0,32241.0,22132.0,2893645.0,0.8398284825257086,53.0,51.0,50.0,48.0,26353.0,3952950.0,1816.0,538388.0,24775.0,2878685.0,0.940120669373506,27.0,26.0,27.0,26.0,1.0,0.0,1.0,24.0,817.0,0.02937576499388,9.0,39.0,0.2307692307692307,2.0,116.0,0.0172413793103448,1.2402632859758725e-06,0.0,0.0,77.0,26353.0,0.2394722573649015,0.1089808274470232,5.660377358490565,0.0,0.2304355684077353,0.1049445005045408,2.0,0.5,0.0,0.5
sc_18_CKDL200165520-1a-DY0088-AK1681_HF2L3CCX2_L7,methylhic_new,14461249.0,2169187350.0,4698640.0,9328720.0,10712456.0,1382455062.0,0.7407697633862745,67006.0,65653.0,28434.0,27729.0,14461249.0,2169187350.0,4264640.0,104370094.0,10970088.0,1367238199.0,0.7585850987006724,36539.0,36069.0,26411.0,26028.0,2455.0,79.0,1168.0,15714.0,565153.0,0.0278048599228881,6579.0,25883.0,0.2541822818065912,2068.0,65434.0,0.0316043647033652,0.0007117631880434,0.0,0.0,54845.0,14461249.0,0.6254961513960944,0.3330784584408074,57.56499417962571,27.71832836147677,0.6128659945021011,0.3287940807767449,3702.0,0.6631550513236089,0.0213398163155051,0.315505132360886
sc_28_CKDL200165520-1a-D704-AK1780_HF2L3CCX2_L7,methylhic_new,532715.0,79907250.0,284175.0,723791.0,287022.0,35452591.0,0.5387909107121068,1082.0,1052.0,945.0,917.0,532715.0,79907250.0,164677.0,12905733.0,384455.0,39213689.0,0.7216898341514694,226.0,225.0,219.0,218.0,27.0,0.0,14.0,929.0,10781.0,0.086170114089602,122.0,478.0,0.2552301255230125,129.0,1091.0,0.1182401466544454,1.7535059850085805e-05,0.0,0.0,1164.0,532715.0,0.3769745873138644,0.0587845131419802,12.661737523105366,3.097345132743368,0.366522426852297,0.0585244046767502,41.0,0.6585365853658537,0.0,0.3414634146341463
sc_80_CKDL200165520-1a-D710-AK1546_HF2L3CCX2_L7,methylhic_new,2338119.0,350717850.0,1097936.0,790783.0,1470483.0,182643448.0,0.6289170910462641,2628.0,2572.0,1630.0,1586.0,2338119.0,350717850.0,958683.0,13457532.0,1579439.0,190531109.0,0.6755169433206779,1778.0,1751.0,1508.0,1484.0,123.0,4.0,73.0,3351.0,28969.0,0.1156753771272739,331.0,1094.0,0.3025594149908592,326.0,2960.0,0.1101351351351351,4.390832302769262e-05,0.0,0.0,3138.0,2338119.0,0.1787167889734189,0.1125716156179504,37.97564687975646,15.185601799775029,0.1749085164534374,0.1108621478892188,200.0,0.615,0.02,0.365
sc_82_CKDL200165520-1a-D711-AK1681_HF2L3CCX2_L7,methylhic_new,17489634.0,2623445100.0,8543184.0,7952243.0,10629492.0,1317450831.0,0.6077595448824143,44673.0,43709.0,16529.0,16115.0,17489634.0,2623445100.0,7397675.0,114742493.0,11499521.0,1379543133.0,0.6575049540773695,25844.0,25550.0,17577.0,17366.0,1621.0,53.0,824.0,16568.0,341541.0,0.0485095493659619,4188.0,15033.0,0.2785871083616045,2226.0,39992.0,0.0556611322264452,0.0004384233677315,0.0,0.0,34106.0,17489634.0,0.4202740827125135,0.2247397956836636,63.000022384885725,31.98808234019501,0.4112049757410796,0.2221831674554096,2498.0,0.6489191353082466,0.021216973578863,0.3298638911128903
sc_92_CKDL200165520-1a-D712-AK1780_HF2L3CCX2_L7,methylhic_new,143659.0,21548850.0,43661.0,191580.0,109724.0,14071290.0,0.7637808978205334,544.0,531.0,491.0,478.0,143659.0,21548850.0,21069.0,2947735.0,126708.0,14438808.0,0.8820053042273718,200.0,196.0,192.0,188.0,25.0,0.0,9.0,204.0,6656.0,0.0306490384615384,92.0,343.0,0.2682215743440233,18.0,610.0,0.0295081967213114,1.016305498641109e-05,0.0,0.0,683.0,143659.0,0.4957894353104152,0.1578432301038608,9.742647058823527,4.000000000000004,0.4839415260107177,0.1546863655017836,34.0,0.7352941176470589,0.0,0.2647058823529412
sc_68_CKDL200165520-1a-D709-AK1780_HF2L3CCX2_L7,methylhic_new,943206.0,141480900.0,90117.0,791020.0,890333.0,117843236.0,0.9439433167303856,5750.0,5635.0,3595.0,3509.0,943206.0,141480900.0,79652.0,9203577.0,886559.0,112801984.0,0.9399420699189784,2954.0,2919.0,2538.0,2507.0,248.0,8.0,105.0,1894.0,61961.0,0.0305676151127322,760.0,2895.0,0.2625215889464594,188.0,6568.0,0.0286236297198538,8.569754253133967e-05,0.0,0.0,6133.0,943206.0,0.6458257752998036,0.3331983545370359,37.47826086956522,14.082599864590383,0.6329092597938074,0.3292505067344644,361.0,0.6869806094182825,0.0221606648199446,0.2908587257617728
sc_88_CKDL200165520-1a-D711-AK1546_HF2L3CCX2_L7,methylhic_new,136566.0,20484900.0,37946.0,122339.0,106757.0,13828926.0,0.7817245873789962,294.0,287.0,267.0,261.0,136566.0,20484900.0,18325.0,2383595.0,121375.0,14300469.0,0.8887644069534145,113.0,110.0,107.0,104.0,4.0,0.0,7.0,372.0,3599.0,0.1033620450125034,63.0,162.0,0.3888888888888889,33.0,379.0,0.0870712401055409,5.865892405682758e-06,0.0,0.0,374.0,136566.0,0.2753917775883548,0.0930998970133882,9.183673469387754,5.309734513274334,0.2688348305029178,0.0906282183316168,11.0,0.3636363636363636,0.0,0.6363636363636364
sc_81_CKDL200165520-1a-D711-AK1680_HF2L3CCX2_L7,methylhic_new,107332.0,16099800.0,28642.0,106820.0,84606.0,10954746.0,0.7882644504900682,308.0,302.0,266.0,262.0,107332.0,16099800.0,11315.0,2001512.0,97817.0,11486113.0,0.911349830432676,130.0,128.0,128.0,126.0,13.0,1.0,3.0,167.0,3722.0,0.0448683503492745,39.0,168.0,0.2321428571428571,14.0,359.0,0.0389972144846796,5.888961961932087e-06,0.0,0.0,394.0,107332.0,0.3640403753870884,0.1329012339368412,13.636363636363637,1.538461538461533,0.3569486797626646,0.1308565995685821,17.0,0.7647058823529411,0.0588235294117647,0.1764705882352941
sc_19_CKDL200165520-1a-DY0088-AK1682_HF2L3CCX2_L7,methylhic_new,84462.0,12669300.0,17788.0,156228.0,73276.0,9405490.0,0.8675617437427482,460.0,450.0,434.0,424.0,84462.0,12669300.0,13652.0,1902219.0,73922.0,8197543.0,0.8752101536785774,104.0,103.0,104.0,103.0,19.0,0.0,3.0,84.0,5270.0,0.0159392789373814,60.0,302.0,0.1986754966887417,13.0,520.0,0.025,8.11792051573638e-06,0.0,0.0,538.0,84462.0,0.6277635242098367,0.1406888341765645,5.652173913043479,0.0,0.6141164910748403,0.1393360569248667,22.0,0.8636363636363636,0.0,0.1363636363636363
