Metric,methylhic_new_N,methylhic_new_Median,methylhic_new_Mean,methylhic_new_Std,methylhic_new_Min,methylhic_new_Max,scnomehic_N,scnomehic_Median,scnomehic_Mean,scnomehic_Std,scnomehic_Min,scnomehic_Max
CellInputReadPairs,96,237893.0,1201721.4479166667,2823935.2484704293,11532.0,17489634.0,188,6813935.0,7034107.643617021,2452429.3390442776,1980360.0,14105883.0
CisLongContact,96,1.0,4.21875,11.757374505524519,0.0,79.0,188,33153.0,35452.335106382976,16836.98606405932,28.0,95399.0
CisLongRatio,95,0.0114942528735632,0.01778699164487808,0.028617524180087627,0.0,0.1666666666666666,188,0.0282571297232441,0.028529853862624566,0.005757332546150648,0.0049452490286117,0.0438665893195467
CisShortRatio,95,0.6956521739130435,0.6854349619531563,0.1637146714834617,0.0,1.0,188,0.9402193275607238,0.940076937143897,0.005427411224844887,0.9279507210532408,0.9814553161427058
FinalmCReads,96,883.0,3755.21875,9335.41503286572,33.0,54845.0,188,2438660.5,2623535.936170213,1070045.8429097536,13559.0,6871140.0
GenomeCov,96,1.3024229236476777e-05,5.095908584635534e-05,0.00012244239577087062,5.287688765719397e-07,0.0007117631880434,188,0.0681486957192973,0.0726744671702331,0.027421410026090606,0.0003527884924657,0.1729369598464428
LambdaCYFrac,96,0.0,0.0,0.0,0.0,0.0,188,0.0,0.0,0.0,0.0,0.0
R1DuplicationRate,96,16.774292515207616,20.222131378212673,14.69260535837229,0.0,63.000022384885725,188,62.03814207421047,61.32717341411303,5.317955962818733,47.732485018865134,75.48421056847623
R1MappingRate,96,0.3852606498025227,0.40287394993031045,0.15137894798425056,0.1442330259491429,0.8712857115675106,188,71.37683383107117,70.899868972324,7.084209316490601,1.4838208964399056,81.26116494533322
R1MappingRateMapQ30,96,0.37779166691979615,0.3926426738660251,0.148898883139289,0.1416726763760812,0.8529966633846723,188,63.89769640848148,63.536181965119816,6.371883375996166,1.2778840760122026,72.78261075089551
R1TrimmedReads,96,183005.0,807452.5208333334,1820951.655847568,9600.0,10712456.0,188,4670563.0,4939000.404255319,2025914.991034988,910959.0,11474044.0
R2DuplicationRate,96,5.89023813278663,7.777100727713052,7.020958063402655,0.0,31.98808234019501,188,62.107811552524666,61.53913766269036,5.380859010130473,48.03726726368029,75.81125909316835
R2MappingRate,96,0.1347125441887949,0.16157262718891224,0.09140736183859513,0.0340171655850952,0.4879819898772809,188,68.22595144342745,67.74228851748398,6.966834810222037,1.380690568955711,78.56706183809531
R2MappingRateMapQ30,96,0.132449101055204,0.1593190684392244,0.09026739220498861,0.0340171655850952,0.4833129995420909,188,60.95957648658781,60.559684405784004,6.254190458123864,1.1712916907202002,70.20306698031534
R2TrimmedReads,96,205278.0,869528.5729166666,1923247.0777689582,10833.0,11499521.0,188,4737275.0,4995306.781914894,2031206.1779046145,938878.0,11527228.0
TotalContacts,96,37.0,233.88541666666666,641.1355857882443,0.0,3702.0,376,2831.0,610282.2686170213,706289.0548648607,0.0,3200577.0
TransContact,96,11.0,69.07291666666667,187.58303395348148,0.0,1168.0,188,35515.5,38070.72872340425,15595.167359778203,77.0,96055.0
TransRatio,95,0.2873563218390804,0.2967780464019654,0.15813911278735232,0.0,1.0,188,0.03111568675801945,0.031393208993478416,0.004544072678456311,0.0135994348286824,0.0610836998806045
mCCCFrac,96,0.04110360360360355,0.06112472274400316,0.061239210354544264,0.0,0.4050179211469534,188,0.17714805403326928,0.17679568848222468,0.014988947576997877,0.0153606085726824,0.2090506420619586
mCGFrac,96,0.2786261269132609,0.28070297217700363,0.08050984335044592,0.0476190476190476,0.6133333333333333,188,0.5488495713490078,0.5477323468642383,0.026260894829764906,0.481812694782827,0.7772721188595905
mCHFrac,96,0.0413620006291062,0.058809335749886914,0.06575989425035718,0.0098658268304831,0.5680699835975943,188,0.1635975039126617,0.16398626833248586,0.014641914074441218,0.0156321290440324,0.2041423865399505
