dataset	cell	uniq_preDedup	mapq30_preDedup	rate_preDedup	uniq_postDedup	mapq30_postDedup	rate_postDedup
nagano	SRR921530	5067262	4460004	88.016	1081947	763919	70.606
nagano	SRR921536	1744909	1500687	86.004	333499	183658	55.07
nagano	SRR921528	5250628	4572705	87.089	1086304	705257	64.923
nagano	SRR921529	2637071	2311530	87.655	726127	530500	73.059
nagano	SRR921531	3636519	3085087	84.836	663416	362661	54.666
nagano	SRR921532	2770386	2420125	87.357	470169	304256	64.712
nagano	SRR921540	3458361	3059701	88.473	541126	358484	66.248
nagano	SRR921538	4215102	3683426	87.386	547680	320953	58.602
nagano	SRR921533	25798709	23931735	92.763	1322146	767127	58.021
nagano	SRR921527	11997613	11016741	91.824	947900	533008	56.23
nagano	SRR921537	18828426	17431058	92.578	742219	343542	46.286
nagano	SRR921534	1728555	1479878	85.614	348081	221321	63.583
nagano	SRR921539	7031520	6559683	93.29	395414	227643	57.571
nagano	SRR921535	5079298	4390436	86.438	707298	408663	57.778
nagano	SRR921526	2457163	2101784	85.537	480298	306748	63.866
smallwood	SRR1248475	49680	34412	69.267	39170	27426	70.018
smallwood	SRR1248483	4860016	3656353	75.233	3824247	2840007	74.263
smallwood	SRR1248487	4293484	3227652	75.176	3595115	2652771	73.788
smallwood	SRR1248496	5586727	4309460	77.137	4248224	3153363	74.228
smallwood	SRR1248485	5311896	3999864	75.3	4711503	3512976	74.562
smallwood	SRR1248488	2723467	2108085	77.404	2015367	1495689	74.214
smallwood	SRR1248459	3895058	2902433	74.516	3196311	2329501	72.881
smallwood	SRR1248484	3864999	2927578	75.746	3274615	2455767	74.994
smallwood	SRR1248494	4916195	3793674	77.167	3776526	2819555	74.66
smallwood	SRR1248470	70706	57886	81.869	39112	31307	80.044
smallwood	SRR1248471	189625	166824	87.976	79679	65091	81.692
smallwood	SRR1248452	5405941	4473082	82.744	3659786	3046533	83.243
smallwood	SRR1248480	5704633	4331659	75.932	4895487	3686523	75.305
smallwood	SRR1248444	5312351	4316849	81.261	3692829	2982462	80.764
smallwood	SRR1248478	3772191	2857323	75.747	3083920	2298973	74.547
smallwood	SRR1248455	5483677	4555353	83.071	3671042	3068125	83.576
smallwood	SRR1248458	2691816	2008559	74.617	2373147	1756388	74.011
smallwood	SRR1248450	2013637	1665685	82.72	1482459	1217690	82.14
smallwood	SRR1248491	4150971	3193454	76.933	3318620	2501124	75.366
smallwood	SRR1248464	4206651	3137597	74.587	3612867	2662274	73.689
smallwood	SRR1248466	4426134	3258787	73.626	3612616	2586273	71.59
smallwood	SRR1248449	8340493	6825802	81.839	5407079	4363809	80.705
smallwood	SRR1248473	81419	67522	82.932	50823	40357	79.407
smallwood	SRR1248479	6698299	5107689	76.254	5388234	4044263	75.057
smallwood	SRR1248462	4377262	3237668	73.966	3376834	2406332	71.26
smallwood	SRR1248465	4728979	3438766	72.717	4056559	2930751	72.247
smallwood	SRR1248447	3366502	2740542	81.406	2466333	2001695	81.161
smallwood	SRR1248453	3846543	3229939	83.97	2726241	2269052	83.23
smallwood	SRR1248472	51509	42978	83.438	30253	24210	80.025
smallwood	SRR1248451	3738237	3096533	82.834	2714598	2257183	83.15
