dataset	sample	HCG_n	GCH_n
scnome	K562_01	1751473	9276276
scnome	K562_02	1711377	9092636
scnome	K562_03	1731333	9019396
scnome	K562_04	1658755	8904986
scnome	K562_05	1723699	9302146
scnome	K562_06	1773678	9352298
scnome	K562_07	1776602	9351676
scnome	K562_08	1669405	8841570
scnome	K562_09	1893629	9870078
scnome	K562_10	934645	5065322
scnome	K562_11	1616639	8698532
scnome	SRR3729642	1393605	7732271
scnome	SRR3729643	1725194	9606601
scnome	SRR3729644	700826	3868464
scnome	SRR3729645	858204	4733403
scnome	SRR3729646	839710	4811902
scnome	SRR3729647	887055	4948226
scnome	SRR3729648	926563	5095811
scnome	SRR3729649	1051725	5817009
scnome	SRR3729650	1120753	6069419
scnome	SRR3729651	706795	3948264
scnome	SRR3729652	1590594	8676854
scnome	SRR3729653	1011085	5588340
smallwood	SRR1248444	2937580	
smallwood	SRR1248445	4388391	
smallwood	SRR1248446	5334683	
smallwood	SRR1248447	2137242	
smallwood	SRR1248448	3935563	
smallwood	SRR1248449	3815971	
smallwood	SRR1248450	1401953	
smallwood	SRR1248451	2296422	
smallwood	SRR1248452	2744841	
smallwood	SRR1248453	2267108	
smallwood	SRR1248454	2035237	
smallwood	SRR1248455	2738570	
smallwood	SRR1248457	2637415	
smallwood	SRR1248458	1977946	
smallwood	SRR1248459	2374383	
smallwood	SRR1248460	2966886	
smallwood	SRR1248461	2747429	
smallwood	SRR1248462	2347873	
smallwood	SRR1248463	2938673	
smallwood	SRR1248464	2738947	
smallwood	SRR1248465	3070453	
smallwood	SRR1248466	2608756	
smallwood	SRR1248467	2184027	
smallwood	SRR1248468	2488985	
smallwood	SRR1248470	7922	
smallwood	SRR1248471	23721	
smallwood	SRR1248472	7659	
smallwood	SRR1248473	19059	
smallwood	SRR1248474	19973	
smallwood	SRR1248475	19252	
smallwood	SRR1248476	10418	
smallwood	SRR1248477	3073665	
smallwood	SRR1248478	2289020	
smallwood	SRR1248479	3302674	
smallwood	SRR1248480	3389643	
smallwood	SRR1248481	2702753	
smallwood	SRR1248482	3915732	
smallwood	SRR1248483	2449456	
smallwood	SRR1248484	2475391	
smallwood	SRR1248485	3576827	
smallwood	SRR1248486	3353984	
smallwood	SRR1248487	2571253	
smallwood	SRR1248488	1509388	
smallwood	SRR1248489	2118023	
smallwood	SRR1248490	4989411	
smallwood	SRR1248491	2540537	
smallwood	SRR1248492	3816025	
smallwood	SRR1248493	2893124	
smallwood	SRR1248494	2773870	
smallwood	SRR1248495	3044944	
smallwood	SRR1248496	3115415	
snmCseq2	SRR6911777	848428	
snmCseq2	SRR6911778	986126	
snmCseq2	SRR6911779	1152877	
snmCseq2	SRR6911780	1033365	
snmCseq2	SRR6911781	900005	
snmCseq2	SRR6911782	1020016	
snmCseq2	SRR6911783	931466	
snmCseq2	SRR6911784	1674479	
snmCseq2	SRR6911785	1568561	
snmCseq2	SRR6911786	1864036	
snmCseq2	SRR6911787	1927237	
snmCseq2	SRR6911788	3606566	
snmCseq2	SRR6911789	1678709	
snmCseq2	SRR6911790	1832582	
snmCseq2	SRR6911791	1196004	
snmCseq2	SRR6911792	949513	
snmCseq2	SRR6911793	1598657	
snmCseq2	SRR6911794	1890906	
snmCseq2	SRR6911795	1688611	
snmCseq2	SRR6911796	1905053	
snmCseq2	SRR6911797	1916378	
snmCseq2	SRR6911798	1495915	
snmCseq2	SRR6911799	1266313	
snmCseq2	SRR6911800	1618674	
snmCseq2	SRR6911801	1556367	
snmCseq2	SRR6911802	1378954	
snmCseq2	SRR6911803	1556011	
snmCseq2	SRR6911804	1659211	
snmCseq2	SRR6911805	1116613	
snmCseq2	SRR6911806	795333	
snmCseq2	SRR6911807	1551698	
snmCseq2	SRR6911808	1416726	
snmCseq2	SRR6911809	1495139	
snmCseq2	SRR6911810	1163843	
snmCseq2	SRR6911811	1827766	
snmCseq2	SRR6911812	1198626	
snmCseq2	SRR6911813	1416522	
snmCseq2	SRR6911814	1317042	
snmCseq2	SRR6911815	1619827	
snmCseq2	SRR6911816	2062928	
snmCseq2	SRR6911817	1199776	
snmCseq2	SRR6911818	1596616	
snmCseq2	SRR6911819	1974234	
snmCseq2	SRR6911820	1479099	
snmCseq2	SRR6911821	1051735	
snmCseq2	SRR6911822	1128655	
snmCseq2	SRR6911823	838349	
snmCseq2	SRR6911824	1155819	
snmCseq2	SRR6911825	1098549	
snmCseq2	SRR6911826	942826	
snmCseq2	SRR6911827	970239	
snmCseq2	SRR6911828	1520189	
snmCseq2	SRR6911829	1403571	
snmCseq2	SRR6911830	1160825	
