sample	HCG_n	GCH_n
K562_01	1751473	9276276
K562_02	1711377	9092636
K562_03	1731333	9019396
K562_04	1658755	8904986
K562_05	1723699	9302146
K562_06	1773678	9352298
K562_07	1776602	9351676
K562_08	1669405	8841570
K562_09	1893629	9870078
K562_10	934645	5065322
K562_11	1616639	8698532
SRR3729642	1393605	7732271
SRR3729643	1725194	9606601
SRR3729644	700826	3868464
SRR3729645	858204	4733403
SRR3729646	839710	4811902
SRR3729647	887055	4948226
SRR3729648	926563	5095811
SRR3729649	1051725	5817009
SRR3729650	1120753	6069419
SRR3729651	706795	3948264
SRR3729652	1590594	8676854
SRR3729653	1011085	5588340
