sample	HCG_n	GCH_n
K562_01	1147388	9896200
K562_02	1098760	9431182
K562_03	1110123	9508573
K562_04	1084380	9403405
K562_05	1128882	9833568
K562_06	1162187	9972769
K562_07	1140880	9828576
K562_08	1064146	9143763
K562_09	1217920	10395702
K562_10	621707	5376231
K562_11	1051330	9122154
SRR3729642	914943	8056847
SRR3729643	1183338	10453798
SRR3729644	455119	3998564
SRR3729645	549302	4832997
SRR3729646	562231	5016006
SRR3729647	588887	5189805
SRR3729648	599033	5247036
SRR3729649	703531	6171946
SRR3729650	715191	6233807
SRR3729651	464395	4090318
SRR3729652	1055776	9215739
SRR3729653	675471	5939058
