dataset,cell,uniq_preDedup,uniq_postDedup,rate_preDedup,rate_postDedup
nagano,SRR921530,5067262,1081947,88.016,70.606
nagano,SRR921536,1744909,333499,86.004,55.07
nagano,SRR921528,5250628,1086304,87.089,64.923
nagano,SRR921529,2637071,726127,87.655,73.059
nagano,SRR921531,3636519,663416,84.836,54.666
nagano,SRR921532,2770386,470169,87.357,64.712
nagano,SRR921540,3458361,541126,88.473,66.248
nagano,SRR921538,4215102,547680,87.386,58.602
nagano,SRR921533,25798709,1322146,92.763,58.021
nagano,SRR921527,11997613,947900,91.824,56.23
nagano,SRR921537,18828426,742219,92.578,46.286
nagano,SRR921534,1728555,348081,85.614,63.583
nagano,SRR921539,7031520,395414,93.29,57.571
nagano,SRR921535,5079298,707298,86.438,57.778
nagano,SRR921526,2457163,480298,85.537,63.866
smallwood,SRR1248475,49680,39170,69.267,70.018
smallwood,SRR1248483,4860016,3824247,75.233,74.263
smallwood,SRR1248487,4293484,3595115,75.176,73.788
smallwood,SRR1248496,5586727,4248224,77.137,74.228
smallwood,SRR1248485,5311896,4711503,75.3,74.562
smallwood,SRR1248488,2723467,2015367,77.404,74.214
smallwood,SRR1248459,3895058,3196311,74.516,72.881
smallwood,SRR1248484,3864999,3274615,75.746,74.994
smallwood,SRR1248494,4916195,3776526,77.167,74.66
smallwood,SRR1248470,70706,39112,81.869,80.044
smallwood,SRR1248471,189625,79679,87.976,81.692
smallwood,SRR1248452,5405941,3659786,82.744,83.243
smallwood,SRR1248480,5704633,4895487,75.932,75.305
smallwood,SRR1248444,5312351,3692829,81.261,80.764
smallwood,SRR1248478,3772191,3083920,75.747,74.547
smallwood,SRR1248455,5483677,3671042,83.071,83.576
smallwood,SRR1248458,2691816,2373147,74.617,74.011
smallwood,SRR1248450,2013637,1482459,82.72,82.14
smallwood,SRR1248491,4150971,3318620,76.933,75.366
smallwood,SRR1248464,4206651,3612867,74.587,73.689
smallwood,SRR1248466,4426134,3612616,73.626,71.59
smallwood,SRR1248449,8340493,5407079,81.839,80.705
smallwood,SRR1248473,81419,50823,82.932,79.407
smallwood,SRR1248479,6698299,5388234,76.254,75.057
smallwood,SRR1248462,4377262,3376834,73.966,71.26
smallwood,SRR1248465,4728979,4056559,72.717,72.247
smallwood,SRR1248447,3366502,2466333,81.406,81.161
smallwood,SRR1248453,3846543,2726241,83.97,83.23
smallwood,SRR1248472,51509,30253,83.438,80.025
smallwood,SRR1248451,3738237,2714598,82.834,83.15
smallwood,SRR1248468,3774003,3258130,74.403,74.581
smallwood,SRR1248457,4052549,3529458,73.763,73.115
smallwood,SRR1248446,16784893,9829863,78.828,78.048
smallwood,SRR1248492,6478849,5209119,76.275,74.261
smallwood,SRR1248477,6244100,4913548,76.212,74.805
smallwood,SRR1248490,7582722,6891409,75.358,75.153
smallwood,SRR1248481,4819707,3940449,76.088,74.778
smallwood,SRR1248460,5006562,4140787,74.079,72.562
smallwood,SRR1248486,5673907,4846939,74.921,74.006
smallwood,SRR1248461,4711399,3875822,74.43,73.319
smallwood,SRR1248448,7057673,5307913,81.756,81.642
smallwood,SRR1248495,5874675,4231203,77.213,73.245
smallwood,SRR1248467,3608108,2974440,73.39,73.65
smallwood,SRR1248493,5442580,4216745,77.223,74.689
smallwood,SRR1248474,295746,100550,91.241,82.664
smallwood,SRR1248454,3578856,2578093,83.942,83.633
smallwood,SRR1248445,12956157,7277184,81.348,79.372
smallwood,SRR1248489,3204311,2643912,75.897,74.587
smallwood,SRR1248476,90333,49407,87.512,82.543
smallwood,SRR1248463,4531742,3942333,73.51,72.939
smallwood,SRR1248482,6772643,5738296,75.886,74.846
scnome,SRR3729647,7824447,2646544,73.701,68.261
scnome,K562_06,15636021,3882860,72.993,64.334
scnome,K562_08,11354941,3320087,71.429,63.273
scnome,SRR3729649,10645130,3286186,75.706,69.206
scnome,K562_11,12767504,3399243,73.576,65.505
scnome,SRR3729653,10946822,3245658,76.407,69.779
scnome,K562_01,11823676,3427714,74.594,66.598
scnome,SRR3729646,5904608,2450612,73.837,68.979
scnome,K562_02,10508228,3222405,71.806,63.926
scnome,SRR3729643,8504383,4114152,77.358,72.947
scnome,K562_10,12398792,2474689,73.816,63.997
scnome,SRR3729644,4634493,1674385,74.324,69.158
scnome,SRR3729645,9300065,2578525,74.941,68.332
scnome,SRR3729651,6359867,2190341,74.254,68.34
scnome,K562_07,11405153,3386344,73.303,66.017
scnome,SRR3729650,13532726,3623822,73.57,66.944
scnome,K562_05,12212529,3538228,72.32,64.878
scnome,SRR3729652,15092659,4943567,76.278,69.685
scnome,K562_09,12877480,3754207,72.162,64.253
scnome,K562_03,10127058,3131742,72.026,64.789
scnome,SRR3729648,9887627,2887600,74.046,67.702
scnome,K562_04,12039098,3413731,72.68,64.912
scnome,SRR3729642,12670192,4137118,75.374,69.082
snmCseq3,SRR21549438,886848,778292,74.627,73.534
snmCseq3,SRR21549332,1694317,1494559,73.371,72.538
snmCseq3,SRR21549413,1112211,983147,73.598,72.773
snmCseq3,SRR21549344,1557205,1319787,74.094,72.904
snmCseq3,SRR21549380,1334894,1167454,74.407,73.491
snmCseq3,SRR21549333,134826,119553,71.823,70.55
snmCseq3,SRR21549338,1937356,1596081,71.401,70.09
snmCseq3,SRR21549421,850429,762879,76.043,75.177
snmCseq3,SRR21549385,1334440,1170244,74.032,73.098
snmCseq3,SRR21549356,1057907,913391,72.491,71.304
snmCseq3,SRR21549420,1144845,1029269,72.964,72.223
snmCseq3,SRR21549399,1601561,1275226,79.57,77.748
snmCseq3,SRR21549376,1504374,1258121,74.621,73.13
snmCseq3,SRR21549316,2887104,2236150,74.898,72.774
snmCseq3,SRR21549393,807429,659399,71.994,70.098
snmCseq3,SRR21549342,1785085,1472516,72.533,71.189
snmCseq3,SRR21549391,1835672,1503906,74.76,73.097
snmCseq3,SRR21549419,1072016,960578,76.017,75.295
snmCseq3,SRR21549357,1702087,1409577,74.849,73.411
snmCseq3,SRR21549343,1450903,1238746,75.059,73.911
snmCseq3,SRR21549340,136487,114840,63.891,61.592
snmCseq3,SRR21549345,1499144,1276337,71.887,70.776
snmCseq3,SRR21549308,3997832,2990443,73.452,71.169
snmCseq3,SRR21549418,1059322,950122,73.647,72.937
snmCseq3,SRR21549431,878963,779586,73.793,72.9
snmCseq3,SRR21549439,908749,795660,74.216,73.068
snmCseq3,SRR21549427,914392,811901,73.665,72.84
snmCseq3,SRR21549318,1842126,1421780,75.024,72.724
snmCseq3,SRR21549310,3242903,2431504,74.591,72.142
snmCseq3,SRR21549379,1069705,940274,74.496,73.52
snmCseq3,SRR21549291,1269796,1133046,73.714,73.003
snmCseq3,SRR21549430,827352,735991,74.868,73.94
snmCseq3,SRR21549309,3577083,2654434,73.637,71.268
snmCseq3,SRR21549301,1833919,1485948,73.993,72.321
snmCseq3,SRR21549390,481880,397450,55.686,53.525
snmCseq3,SRR21549423,1020828,915088,73.787,73.001
snmCseq3,SRR21549409,783393,696762,74.12,73.272
snmCseq3,SRR21549373,1769248,1473358,73.349,72.001
snmCseq3,SRR21549402,2823203,2279331,75.735,74.443
snmCseq3,SRR21549426,186853,166733,76.176,74.972
snmCseq3,SRR21549395,2617631,2087574,73.648,71.974
snmCseq3,SRR21549335,1549150,1364299,73.748,72.905
snmCseq3,SRR21549322,2271472,1896167,74.156,73.013
snmCseq3,SRR21549304,2284936,1847012,74.27,72.742
snmCseq3,SRR21549387,1375280,1127710,74.801,73.171
snmCseq3,SRR21549360,2379461,1970301,73.503,72.132
snmCseq3,SRR21549362,1984339,1638623,73.87,72.511
snmCseq3,SRR21549411,1073290,953050,73.388,72.575
snmCseq3,SRR21549436,1175607,1032354,73.409,72.442
snmCseq3,SRR21549349,1491764,1271687,74.065,72.895
snmCseq3,SRR21549327,863494,742988,79.069,77.673
snmCseq3,SRR21549382,1482044,1303464,73.373,72.451
snmCseq3,SRR21549383,1334166,1168049,74.047,73.151
snmCseq3,SRR21549312,3522711,2620399,74.196,71.879
snmCseq3,SRR21549337,2080247,1716645,74.23,72.963
snmCseq3,SRR21549292,1292798,1155999,72.925,72.153
snmCseq3,SRR21549392,2141284,1746490,74.282,72.681
snmCseq3,SRR21549336,1386297,1218807,73.603,72.759
snmCseq3,SRR21549410,1007490,894316,73.978,73.23
snmCseq3,SRR21549370,1472042,1263494,73.006,71.712
snmCseq3,SRR21549358,2117365,1741514,74.132,72.808
snmCseq3,SRR21549388,2170579,1768562,74.905,73.428
snmCseq3,SRR21549437,1018242,888552,73.913,72.896
snmCseq3,SRR21549326,1792233,1537251,74.607,73.597
snmCseq3,SRR21549401,2142609,1749674,75.232,73.634
snmCseq3,SRR21549289,965851,863478,74.743,73.971
snmCseq3,SRR21549348,1318577,1128112,74.011,72.741
snmCseq3,SRR21549363,1616558,1357172,73.928,72.601
snmCseq3,SRR21549384,869297,766158,75.499,74.337
