sample	noncpg	endo	exo
SRR3729662_2	0.313	25.931	8.362
SRR3729678_1	0.387	28.831	11.934
SRR3729646_1	0.332	37.791	21.594
SRR3729646_2	0.452	36.612	21.669
SRR3729661_1	0.391	26.743	8.479
SRR3729677_1	0.41	27.973	11.717
SRR3729651_1	0.334	44.405	18.974
SRR3729647_1	0.429	36.321	17.769
SRR3729643_1	0.319	38.619	19.267
SRR3729660_2	0.313	40.917	1.435
SRR3729654_2	0.409	42.735	0.727
SRR3729649_1	0.38	37.333	16.938
SRR3729658_2	0.4	46.303	1.413
SRR3729668_2	0.253	25.795	12.147
SRR3729656_1	0.329	75.556	0.521
SRR3729652_1	0.408	35.928	19.254
SRR3729670_1	0.313	28.466	12.776
SRR3729657_1	0.358	79.545	0.814
SRR3729661_2	0.388	26.325	8.256
SRR3729682_2	0.346	24.346	13.755
SRR3729667_1	0.303	26.163	13.051
SRR3729644_1	0.267	34.384	18.841
SRR3729666_2	0.354	26.816	12.137
SRR3729678_2	0.315	29.797	11.356
SRR3729680_1	0.323	27.106	13.818
SRR3729667_2	0.325	25.968	12.571
SRR3729675_1	0.487	28.216	13.362
SRR3729653_1	0.326	34.057	20.428
SRR3729669_1	0.261	28.929	13.182
SRR3729672_1	0.309	27.0	9.819
SRR3729652_2	0.378	36.041	19.268
SRR3729663_1	0.313	27.474	12.915
SRR3729651_2	0.437	43.497	18.656
SRR3729675_2	0.309	28.254	12.728
SRR3729673_1	0.301	23.868	10.123
SRR3729657_2	0.295	78.596	0.833
SRR3729659_1	0.291	49.554	1.018
SRR3729676_2	0.479	27.11	12.365
SRR3729676_1	0.497	28.657	13.192
SRR3729649_2	0.439	37.784	17.799
SRR3729674_1	0.329	25.463	10.302
SRR3729672_2	0.403	25.513	9.89
SRR3729650_2	0.333	36.465	13.608
SRR3729660_1	0.285	39.531	1.468
SRR3729663_2	0.339	25.756	12.701
SRR3729669_2	0.327	26.35	13.363
SRR3729671_1	0.414	26.668	9.635
SRR3729679_2	0.408	26.467	13.939
SRR3729677_2	0.403	29.489	11.727
SRR3729681_2	0.278	23.648	13.847
SRR3729645_2	0.417	33.148	17.224
SRR3729647_2	0.39	36.133	18.676
SRR3729664_2	0.288	27.184	12.446
SRR3729655_1	0.283	38.522	1.173
SRR3729673_2	0.299	26.708	9.956
SRR3729666_1	0.494	27.835	12.559
SRR3729665_1	0.387	26.952	12.443
SRR3729648_2	0.361	32.774	13.506
SRR3729664_1	0.287	28.149	12.158
SRR3729670_2	0.297	26.384	13.34
SRR3729642_1	0.283	36.099	22.217
SRR3729653_2	0.321	36.014	21.522
SRR3729679_1	0.44	25.83	13.735
SRR3729645_1	0.408	32.185	16.705
SRR3729643_2	0.501	36.932	18.795
SRR3729671_2	0.435	26.048	9.557
SRR3729680_2	0.395	25.722	14.033
SRR3729650_1	0.348	40.349	13.946
SRR3729665_2	0.338	27.31	12.06
SRR3729654_1	0.311	41.96	0.779
SRR3729659_2	0.282	49.744	1.051
SRR3729642_2	0.391	35.53	22.136
SRR3729655_2	0.312	39.133	0.996
SRR3729644_2	0.281	38.399	19.796
SRR3729662_1	0.351	24.401	8.311
SRR3729658_1	0.208	44.635	1.783
SRR3729681_1	0.44	24.943	13.711
SRR3729674_2	0.317	27.749	10.219
SRR3729682_1	0.336	25.376	13.286
SRR3729648_1	0.186	34.644	13.319
SRR3729668_1	0.366	25.047	13.073
SRR3729656_2	0.36	75.859	0.502
