sample	noncpg	endo	exo
SRR1248475	0.955	39.623	1.449
SRR1248462	0.516	7.218	0.553
SRR1248468	0.318	47.137	0.327
SRR1248478	0.809	77.663	0.762
SRR1248465	0.572	27.432	0.621
SRR1248484	0.671	79.469	0.646
SRR1248496	0.599	69.352	0.608
SRR1248452	2.441	35.604	2.018
SRR1248451	2.261	36.783	1.905
SRR1248495	0.484	67.342	0.496
SRR1248463	0.412	45.067	0.377
SRR1248481	0.648	77.606	0.653
SRR1248450	2.098	37.231	1.93
SRR1248474	5.882	73.684	3.75
SRR1248488	1.118	74.192	0.869
SRR1248467	0.344	16.995	0.338
SRR1248466	0.321	26.647	0.378
SRR1248448	2.297	36.797	1.937
SRR1248490	0.898	71.222	0.826
SRR1248489	0.727	65.408	0.641
SRR1248470	5.882	91.667	4.286
SRR1248471	1.293	63.462	1.706
SRR1248492	0.625	59.904	0.549
SRR1248461	0.271	44.789	0.311
SRR1248485	0.447	63.32	0.49
SRR1248457	0.309	44.489	0.311
SRR1248482	0.657	34.445	0.665
SRR1248459	0.412	51.856	0.44
SRR1248493	0.796	79.937	0.723
SRR1248494	0.786	73.807	0.743
SRR1248446	2.31	37.115	1.868
SRR1248487	1.088	80.823	0.851
SRR1248473	0.93	72.727	1.186
SRR1248455	1.907	35.465	1.501
SRR1248453	2.211	38.485	1.675
SRR1248449	2.338	36.199	1.957
SRR1248480	0.533	70.851	0.539
SRR1248476	7.143	66.667	12.0
SRR1248491	0.787	66.178	0.669
SRR1248460	0.345	32.747	0.332
SRR1248479	0.668	71.194	0.69
SRR1248458	0.363	43.1	0.421
SRR1248447	2.373	34.514	1.854
SRR1248483	2.395	85.315	1.7
SRR1248477	0.706	81.736	0.644
SRR1248464	0.345	6.465	0.372
SRR1248445	2.209	36.105	1.803
SRR1248444	2.164	36.441	1.754
SRR1248472	6.25	80.0	1.429
SRR1248486	0.867	75.626	0.704
SRR1248454	1.943	37.409	1.74
