sample	noncpg	endo	exo
SRR10470331	6.525	86.681	18.720
SRR10471453	2.626	80.401	15.416
SRR10470796	2.272	81.061	14.083
SRR10471405	2.676	80.589	15.301
SRR10470336	3.415	78.492	18.428
SRR10470920	2.317	80.954	15.733
SRR10470341	2.640	79.671	11.517
SRR10471412	2.696	84.670	19.938
SRR10470911	0.737	76.423	6.918
SRR10471413	2.856	85.577	12.636
SRR10470919	3.612	85.870	9.891
SRR10471449	6.010	88.398	18.372
SRR10470361	2.529	80.314	14.887
SRR10471398	2.988	86.296	17.707
SRR10470764	3.167	86.621	23.406
SRR10470910	1.451	81.483	11.438
SRR10470354	0.962	79.496	12.111
SRR10470897	2.951	80.718	13.048
SRR10470786	2.369	82.286	17.939
SRR10470905	2.448	85.630	13.434
SRR10470776	3.426	87.337	16.925
SRR10471410	3.943	82.130	16.459
SRR10470363	4.785	82.807	19.371
SRR10471445	4.291	82.444	15.885
SRR10470337	3.820	84.791	14.500
SRR10470345	4.409	82.396	17.865
SRR10470325	2.898	84.737	18.449
SRR10470791	3.482	77.282	20.117
SRR10471384	2.989	83.524	17.549
SRR10471432	3.347	83.328	15.188
SRR10470755	4.053	82.896	13.371
SRR10471377	7.542	86.893	18.527
SRR10470928	0.680	77.943	14.514
SRR10471421	2.504	81.384	15.086
SRR10470332	3.145	82.451	15.921
SRR10470900	1.993	81.690	19.181
SRR10470324	2.511	81.342	8.892
SRR10470775	2.582	82.126	18.151
SRR10470895	3.851	86.802	16.738
SRR10471401	3.360	85.362	15.246
SRR10470322	7.726	87.701	18.629
SRR10470915	0.746	76.752	10.419
SRR10471381	3.257	83.705	14.847
SRR10471464	0.658	79.749	12.590
SRR10470323	5.427	87.082	14.631
SRR10470339	2.735	83.295	16.322
SRR10471376	2.767	80.977	14.468
SRR10471455	3.727	85.896	21.561
SRR10471448	2.618	81.240	16.550
SRR10471452	3.020	80.967	18.957
SRR10470770	3.719	84.182	16.234
SRR10470899	3.612	83.444	20.354
SRR10471408	3.395	82.862	15.720
SRR10471420	3.571	87.033	8.104
SRR10470918	3.755	79.765	20.014
SRR10471382	3.499	82.756	14.156
SRR10470338	4.525	86.129	16.971
SRR10471434	2.397	81.903	15.226
SRR10470364	2.569	85.551	15.847
SRR10470754	3.389	80.602	19.216
SRR10471402	2.102	79.938	15.318
SRR10470335	3.519	86.339	18.973
SRR10471444	2.454	83.898	18.671
SRR10470352	7.347	80.426	15.827
SRR10471378	4.295	87.407	14.940
SRR10471428	3.887	83.778	10.105
SRR10471426	3.287	86.208	15.758
SRR10470937	3.655	82.862	14.722
SRR10470350	0.685	78.645	8.194
SRR10470360	4.043	85.228	19.519
SRR10471388	6.829	88.369	20.785
SRR10470923	2.657	80.841	10.896
SRR10471400	4.414	83.856	19.002
SRR10470334	2.728	85.353	11.359
SRR10471454	2.628	85.800	14.994
SRR10471393	4.522	82.463	19.025
SRR10470933	4.045	87.178	15.349
SRR10471456	2.071	80.996	17.645
SRR10470902	3.759	86.546	15.583
SRR10470934	2.883	80.237	16.118
SRR10471461	5.529	83.786	20.498
SRR10470355	0.580	78.719	9.682
SRR10471397	3.404	89.562	13.813
SRR10470333	5.076	87.512	16.165
SRR10470362	2.174	83.685	19.466
SRR10471417	4.141	85.167	17.440
SRR10471411	2.745	80.527	16.695
SRR10470343	3.912	85.577	13.594
SRR10470342	3.035	82.298	17.222
SRR10470785	4.862	86.543	19.260
SRR10471457	2.816	79.851	17.785
SRR10470760	2.668	80.736	17.984
SRR10470346	7.439	86.880	18.766
SRR10471389	2.681	82.646	17.724
SRR10470326	5.777	87.169	12.190
SRR10470340	4.262	85.738	16.190
SRR10471379	3.393	82.567	14.107
SRR10471451	2.884	82.026	6.599
SRR10470929	3.975	81.548	16.042
SRR10471404	4.523	84.825	16.478
