sample	noncpg	endo	exo
SRR10470331	1.449	0.000	13.889
SRR10471453	3.150	0.000	48.936
SRR10470796	2.927	4.225	43.842
SRR10471405	1.838	7.692	56.223
SRR10470336	0.588	6.667	19.231
SRR10470920	1.576	3.023	41.148
SRR10470341	0.000	2.273	46.875
SRR10471412	0.000	0.000	63.077
SRR10470911	0.000	6.667	26.316
SRR10471413	0.993	2.632	20.414
SRR10470919	1.579	1.862	43.124
SRR10471449	0.917	0.000	65.000
SRR10470361	2.454	6.349	56.028
SRR10471398	2.586	8.235	49.770
SRR10470764	3.065	3.226	58.703
SRR10470910	0.000	4.478	28.293
SRR10470354	9.756	0.000	63.636
SRR10470897	1.328	1.417	56.440
SRR10470786	0.000	0.000	44.000
SRR10470905	4.545	0.000	88.372
SRR10470776	0.797	2.174	11.413
SRR10471410	1.852	1.765	23.618
SRR10470363	2.326	2.752	44.922
SRR10471445	2.632	4.000	23.729
SRR10470337	1.068	5.645	36.905
SRR10470345	0.000	0.000	3.279
SRR10470325	0.000	0.000	66.667
SRR10470791	2.959	4.545	38.122
SRR10471384	3.175	4.317	24.000
SRR10471432	2.123	1.170	43.427
SRR10470755	0.599	0.000	16.364
SRR10471377	1.777	7.627	56.169
SRR10470928	5.495	7.500	78.667
SRR10471421	0.787	2.439	45.299
SRR10470332	1.099	3.030	42.353
SRR10470900	3.017	4.110	21.809
SRR10470324	0.000	0.000	44.586
SRR10470775	1.183	0.813	43.218
SRR10470895	4.673	7.407	15.741
SRR10471401	3.968	6.667	56.693
SRR10470322	3.846	0.000	74.074
SRR10470915	0.000	0.000	58.621
SRR10471381	1.003	3.958	26.107
SRR10471464	0.000	13.333	50.746
SRR10470323	4.211	9.375	63.514
SRR10470339	3.828	7.971	54.030
SRR10471376	2.041	4.839	23.333
SRR10471455	1.579	3.704	57.895
SRR10471448	0.433	4.301	19.748
SRR10471452	1.145	0.000	47.619
SRR10470770	1.460	2.479	37.050
SRR10470899	1.024	3.636	65.000
SRR10471408	2.381	0.000	48.148
SRR10471420	1.613	10.465	34.562
SRR10470918	1.875	4.386	48.515
SRR10471382	1.969	2.715	33.778
SRR10470338	1.887	0.000	60.000
SRR10471434	2.344	10.989	19.788
SRR10470364	1.493	0.000	59.036
SRR10470754	1.322	9.333	45.513
SRR10471402	0.000	3.846	30.588
SRR10470335	0.345	2.062	56.067
SRR10471444	0.971	9.091	68.966
SRR10470352	2.970	3.030	13.793
SRR10471378	0.993	2.679	56.698
SRR10471428	4.494	10.811	30.556
SRR10471426	11.111	0.000	32.000
SRR10470937	0.847	2.941	12.281
SRR10470350	2.649	6.250	47.590
SRR10470360	0.795	3.352	69.106
SRR10471388	0.000	3.030	62.353
SRR10470923	0.000	0.000	26.531
SRR10471400	0.758	1.339	59.357
SRR10470334	0.476	5.556	26.904
SRR10471454	0.946	1.754	23.052
SRR10471393	0.833	0.000	70.635
SRR10470933	3.125	0.000	63.636
SRR10471456	0.562	1.786	72.222
SRR10470902	0.476	2.353	65.929
SRR10470934	3.237	2.105	53.431
SRR10471461	1.794	1.205	38.983
SRR10470355	5.455	21.429	22.414
SRR10471397	1.873	1.989	63.164
SRR10470333	1.418	0.000	68.116
SRR10470362	3.120	2.844	42.341
SRR10471417	2.500	4.494	22.134
SRR10471411	2.092	3.030	28.384
SRR10470343	0.699	4.000	46.154
SRR10470342	0.704	2.542	36.496
SRR10470785	1.923	1.351	78.421
SRR10471457	0.826	2.222	58.511
SRR10470760	2.260	10.615	50.114
SRR10470346	0.546	1.887	43.614
SRR10471389	2.247	3.883	43.089
SRR10470326	2.930	4.310	44.710
SRR10470340	3.175	3.125	48.790
SRR10471379	5.000	7.463	31.429
SRR10471451	0.000	1.887	38.318
SRR10470929	1.843	5.426	47.487
SRR10471404	4.525	5.882	65.566
