sample	noncpg	endo	exo
SRR6911802_2	1.121	74.855	1.057
SRR6911819_1	2.263	81.18	1.812
SRR6911815_1	0.846	76.536	0.701
SRR6911826_1	1.499	81.09	1.124
SRR6911834_1	0.532	74.629	0.507
SRR6911783_2	1.535	72.917	1.601
SRR6911836_2	1.218	74.419	1.216
SRR6911797_1	2.221	78.595	1.893
SRR6911789_2	2.326	79.642	2.178
SRR6911812_2	2.019	77.982	1.587
SRR6911823_1	1.941	86.197	1.695
SRR6911806_2	2.773	74.595	1.065
SRR6911866_1	0.555	75.398	0.535
SRR6911803_1	1.811	80.365	1.351
SRR6911795_2	1.013	73.282	1.38
SRR6911832_2	1.46	74.089	0.872
SRR6911859_2	2.064	81.272	1.475
SRR6911872_1	1.204	81.13	1.284
SRR6911782_2	1.845	68.34	1.454
SRR6911860_1	1.286	79.888	1.119
SRR6911848_2	1.83	74.737	1.384
SRR6911859_1	1.793	82.424	1.51
SRR6911825_1	2.038	84.718	1.978
SRR6911781_1	1.426	80.072	1.24
SRR6911847_1	3.346	88.056	2.838
SRR6911813_2	1.747	82.266	1.283
SRR6911777_2	1.41	63.131	1.442
SRR6911827_2	1.293	72.835	0.863
SRR6911778_1	2.69	83.043	2.453
SRR6911831_2	2.392	79.221	1.947
SRR6911812_1	2.36	80.313	2.03
SRR6911863_2	2.396	76.744	1.344
SRR6911799_2	2.102	73.864	1.806
SRR6911867_1	0.672	77.842	0.718
SRR6911833_1	0.98	77.355	0.856
SRR6911821_1	1.837	77.344	1.701
SRR6911786_2	1.355	76.383	0.839
SRR6911851_1	2.246	85.182	1.926
SRR6911811_2	1.764	73.951	1.733
SRR6911845_2	1.808	78.947	1.331
SRR6911846_1	2.469	81.86	2.307
SRR6911839_2	2.604	79.279	1.868
SRR6911807_1	1.624	78.489	1.461
SRR6911789_1	2.489	84.454	2.313
SRR6911777_1	1.678	77.525	1.546
SRR6911841_2	2.154	81.53	1.829
SRR6911822_2	2.586	80.145	2.094
SRR6911868_2	1.01	73.333	1.547
SRR6911863_1	1.686	81.328	1.512
SRR6911869_1	1.672	77.633	1.599
SRR6911792_2	0.669	72.901	0.343
SRR6911820_2	1.131	72.893	1.459
SRR6911856_2	3.579	84.174	2.096
SRR6911842_1	2.068	82.302	1.859
SRR6911810_2	2.278	83.483	2.52
SRR6911846_2	2.096	75.627	1.964
SRR6911786_1	1.389	77.664	1.224
SRR6911850_1	1.155	79.085	1.383
SRR6911838_1	2.074	85.211	1.816
SRR6911816_1	0.905	76.584	0.749
SRR6911800_1	1.663	77.676	1.589
SRR6911825_2	1.699	83.658	1.612
SRR6911803_2	1.902	68.734	1.372
SRR6911787_1	2.54	85.648	2.408
SRR6911854_1	1.85	87.245	1.561
SRR6911861_2	2.074	80.435	2.31
SRR6911780_2	1.752	67.068	1.268
SRR6911849_2	1.565	74.725	1.507
SRR6911814_1	1.386	78.709	1.304
SRR6911862_1	1.378	81.25	1.293
SRR6911843_1	2.326	86.585	1.901
SRR6911793_2	1.298	75.783	1.531
SRR6911814_2	1.033	77.994	1.26
SRR6911849_1	1.442	80.453	1.365
SRR6911801_2	1.035	78.104	1.126
SRR6911813_1	1.612	80.931	1.472
SRR6911841_1	2.351	88.343	2.167
SRR6911837_1	1.322	78.988	1.348
SRR6911818_2	0.409	68.764	0.494
SRR6911831_1	2.496	85.463	2.15
SRR6911785_1	1.692	78.831	1.577
SRR6911799_1	1.81	80.976	1.597
SRR6911828_1	2.072	80.549	1.819
SRR6911865_2	0.6	76.389	0.437
SRR6911865_1	0.649	76.637	0.496
SRR6911809_2	1.253	74.186	1.141
SRR6911871_1	1.121	80.345	1.097
SRR6911801_1	1.322	78.39	1.226
SRR6911861_1	2.889	87.137	2.296
SRR6911852_2	1.507	74.007	0.948
SRR6911800_2	1.547	73.543	1.197
SRR6911871_2	1.075	79.412	0.821
SRR6911836_1	1.432	81.451	1.393
SRR6911858_1	1.576	80.09	1.501
SRR6911804_2	1.3	71.212	1.614
SRR6911811_1	2.008	80.638	1.601
SRR6911839_1	2.695	86.466	2.35
SRR6911870_1	1.558	81.679	1.442
SRR6911817_1	0.457	74.178	0.452
SRR6911851_2	1.883	85.659	2.21
SRR6911855_1	1.151	79.76	1.182
SRR6911844_2	1.356	74.297	0.661
SRR6911797_2	2.05	73.541	1.896
SRR6911838_2	1.909	82.09	1.132
SRR6911862_2	0.921	79.31	1.066
SRR6911809_1	1.261	78.978	1.326
SRR6911844_1	1.452	78.301	1.541
SRR6911815_2	0.747	74.382	0.578
SRR6911796_2	2.218	77.703	1.937
SRR6911824_1	2.116	81.526	2.004
SRR6911790_2	1.848	79.274	1.432
SRR6911820_1	1.692	77.989	1.258
SRR6911855_2	1.102	81.197	1.064
SRR6911794_2	1.963	78.367	1.751
SRR6911830_2	2.179	71.837	1.611
SRR6911798_2	1.583	80.0	1.344
SRR6911853_2	1.876	79.211	1.309
SRR6911796_1	2.293	80.914	2.08
SRR6911866_2	0.363	70.758	0.793
SRR6911783_1	1.283	79.507	1.277
SRR6911782_1	2.046	79.242	1.733
SRR6911802_1	1.706	77.131	1.492
SRR6911853_1	2.344	85.9	1.975
SRR6911824_2	2.573	77.493	1.685
SRR6911818_1	0.519	72.802	0.502
SRR6911808_1	2.066	83.053	1.734
SRR6911860_2	0.379	72.632	1.264
SRR6911806_1	2.01	80.681	1.806
SRR6911872_2	1.516	79.612	0.789
SRR6911810_1	2.498	80.855	2.299
SRR6911788_2	1.161	75.86	1.23
SRR6911805_2	1.762	66.337	1.35
SRR6911791_1	2.297	83.271	2.264
SRR6911795_1	1.452	78.331	1.396
SRR6911842_2	1.817	75.967	1.676
SRR6911834_2	0.491	68.702	0.516
SRR6911817_2	0.588	71.545	0.457
SRR6911829_2	1.099	78.916	1.586
SRR6911779_1	1.592	77.785	1.505
SRR6911821_2	2.02	71.812	1.567
SRR6911805_1	1.707	78.316	1.462
SRR6911780_1	1.756	78.137	1.621
SRR6911856_1	2.725	79.621	2.37
SRR6911864_2	0.282	74.011	0.454
SRR6911847_2	2.556	81.935	2.296
SRR6911787_2	2.51	81.422	1.773
SRR6911826_2	1.231	73.653	1.265
SRR6911835_1	0.739	79.075	0.622
SRR6911840_1	1.366	80.664	1.09
SRR6911828_2	1.829	75.853	1.957
SRR6911870_2	1.799	77.848	1.021
SRR6911794_1	2.072	83.692	1.95
SRR6911833_2	0.842	71.429	0.962
SRR6911854_2	1.394	79.268	1.872
SRR6911807_2	1.697	72.826	1.197
SRR6911832_1	1.142	79.112	1.071
SRR6911848_1	1.919	81.654	1.786
SRR6911792_1	0.606	75.744	0.546
SRR6911867_2	0.829	75.641	0.48
SRR6911784_1	1.222	77.906	1.279
SRR6911829_1	1.512	85.887	1.45
SRR6911850_2	1.078	72.197	0.915
SRR6911840_2	0.809	74.587	0.671
SRR6911785_2	1.94	75.921	1.575
SRR6911843_2	1.554	84.444	1.855
SRR6911837_2	0.941	67.458	1.246
SRR6911868_1	1.364	80.444	1.246
SRR6911793_1	1.654	80.349	1.604
SRR6911835_2	0.612	72.613	0.703
SRR6911822_1	2.51	84.371	2.272
SRR6911778_2	2.494	77.155	2.398
SRR6911857_1	1.922	81.302	1.642
SRR6911858_2	1.471	71.041	1.377
SRR6911819_2	2.219	79.102	1.914
SRR6911784_2	0.963	73.171	1.121
SRR6911823_2	1.321	82.266	1.364
SRR6911869_2	1.515	73.128	1.0
SRR6911864_1	0.372	75.469	0.371
SRR6911852_1	1.501	78.417	1.379
SRR6911791_2	3.176	77.206	2.846
SRR6911857_2	1.309	79.18	1.206
SRR6911830_1	2.318	80.957	1.978
SRR6911798_1	1.803	80.478	1.763
SRR6911779_2	2.069	74.815	1.25
SRR6911808_2	1.68	78.237	1.568
SRR6911827_1	1.317	77.934	1.152
SRR6911816_2	0.821	75.209	0.684
SRR6911781_2	1.303	76.119	1.037
SRR6911790_1	2.135	85.526	2.123
SRR6911788_1	1.171	77.057	1.011
SRR6911804_1	1.792	77.548	1.552
SRR6911845_1	1.995	81.61	2.052
