sample	noncpg	endo	exo
SRR21549418			
SRR21549439	0.0		
SRR21549292	0.0	0.0	0.0
SRR21549332	0.0		0.0
SRR21549395	0.0		
SRR21549436	0.0		
SRR21549343	0.0	0.0	0.0
SRR21549402	0.0	0.0	0.0
SRR21549357	0.0	100.0	0.0
SRR21549338	0.0	0.0	0.0
SRR21549399	0.0	0.0	0.0
SRR21549360	0.0	0.0	0.0
SRR21549354	0.403	0.0	0.0
SRR21549356	0.0		
SRR21549423	0.0	0.0	0.0
SRR21549420	0.0	0.0	0.0
SRR21549312	0.0	0.0	0.0
SRR21549353	0.0	0.0	
SRR21549391	0.0	0.0	0.0
SRR21549426			
SRR21549419	0.0	0.0	0.0
SRR21549337	0.0	0.0	0.0
SRR21549289	0.0	0.0	0.0
SRR21549377	0.0	25.0	0.0
SRR21549309	0.0		
SRR21549431			
SRR21549410			
SRR21549324	0.0	0.0	
SRR21549430	0.0	0.0	0.0
SRR21549349			
SRR21549305			
SRR21549392	0.0	0.0	0.0
SRR21549373	0.0	33.333	0.0
SRR21549413	0.0	0.0	0.0
SRR21549336	0.0	0.0	0.0
SRR21549340			
SRR21549401	0.0	0.0	0.0
SRR21549383	0.0	0.0	0.0
SRR21549416			
SRR21549316	0.0	100.0	0.0
SRR21549390	0.0		0.0
SRR21549379		0.0	0.0
SRR21549358	0.0	0.0	0.0
SRR21549397	0.0	0.0	0.0
SRR21549291	0.0	0.0	0.0
SRR21549371	0.0	0.0	0.0
SRR21549405	0.0	100.0	
SRR21549393	0.0	0.0	0.0
SRR21549319			
SRR21549304	14.286	33.333	0.0
SRR21549344	0.0	0.0	0.0
SRR21549318	0.0	0.0	0.0
SRR21549308			
SRR21549361	0.0	0.0	0.0
SRR21549411	0.0	0.0	0.0
SRR21549342	0.0	33.333	0.0
SRR21549310	0.0	0.0	0.0
SRR21549427			
SRR21549333			
SRR21549329	0.0		0.0
SRR21549424	0.0	0.0	0.0
SRR21549409	0.0		0.0
SRR21549380			
SRR21549313			
SRR21549438	0.0		0.0
SRR21549382	0.0	0.0	
SRR21549396	0.0	0.0	0.0
SRR21549363			
SRR21549412	0.0	0.0	0.0
SRR21549385	0.0		
SRR21549322	0.0		100.0
SRR21549374	0.0	0.0	0.0
SRR21549325	0.0	0.0	0.0
SRR21549350			
SRR21549327			
SRR21549370	0.0		0.0
SRR21549299	0.0	0.0	0.0
SRR21549404	0.0	0.0	0.0
SRR21549415	0.0		0.0
SRR21549348	25.0	100.0	25.0
SRR21549302	0.0	0.0	0.0
SRR21549331	0.0	0.0	
SRR21549317	0.0	0.0	0.0
SRR21549307	10.0	0.0	0.0
SRR21549384	0.0		0.0
SRR21549298			
SRR21549437	0.0		0.0
SRR21549326	11.111	0.0	0.0
SRR21549335	10.204	0.0	16.667
SRR21549359	0.0	0.0	0.0
SRR21549428	0.0	0.0	0.0
SRR21549362	0.0	40.0	0.0
SRR21549301			
SRR21549388	13.636	0.0	12.5
SRR21549421			
SRR21549376	0.0	0.0	
SRR21549387	0.0	0.0	0.0
SRR21549345	0.0	0.0	0.0
