arm,cell_type,CellID,chrom,chrom_role,HCG,HCG_n,GCH,GCH_n,noncpg,noncpg_n
smallwood_scBS,2i,SRR1248457,chrM,control,1.6295,154,0.578,271,0.9237,1483
smallwood_scBS,2i,SRR1248457,chr19,autosome,39.6726,29655,0.3871,167519,0.5187,576397
smallwood_scBS,2i,SRR1248458,chrM,control,1.111,90,1.3888,162,1.382,925
smallwood_scBS,2i,SRR1248458,chr19,autosome,38.177,21386,0.5294,119858,0.557,410850
smallwood_scBS,2i,SRR1248459,chrM,control,1.1843,126,1.8849,237,0.9372,1315
smallwood_scBS,2i,SRR1248459,chr19,autosome,46.4647,25944,0.5416,145171,0.6147,504235
smallwood_scBS,2i,SRR1248460,chrM,control,2.7139,158,0.3599,269,1.097,1608
smallwood_scBS,2i,SRR1248460,chr19,autosome,28.7439,31672,0.4445,181469,0.5314,632148
smallwood_scBS,2i,SRR1248461,chrM,control,0.2834,147,0.4947,261,0.712,1462
smallwood_scBS,2i,SRR1248461,chr19,autosome,39.5274,30497,0.3579,177008,0.427,617071
smallwood_scBS,2i,SRR1248462,chrM,control,3.0106,161,1.4363,275,1.7581,1599
smallwood_scBS,2i,SRR1248462,chr19,autosome,6.9808,35796,0.6624,205764,0.7224,720396
smallwood_scBS,2i,SRR1248463,chrM,control,1.1834,115,0.8682,216,0.9039,1218
smallwood_scBS,2i,SRR1248463,chr19,autosome,38.3709,32083,0.5237,179140,0.6301,618863
smallwood_scBS,2i,SRR1248464,chrM,control,1.9888,129,1.1117,232,1.2671,1339
smallwood_scBS,2i,SRR1248464,chr19,autosome,6.2071,30473,0.4365,172813,0.5459,599306
smallwood_scBS,2i,SRR1248465,chrM,control,0.5047,142,0.8515,246,0.4431,1347
smallwood_scBS,2i,SRR1248465,chr19,autosome,24.6024,34984,0.7274,196532,0.804,681140
smallwood_scBS,2i,SRR1248466,chrM,control,1.598,121,0.4947,224,0.9593,1272
smallwood_scBS,2i,SRR1248466,chr19,autosome,23.2732,27959,0.444,159953,0.5427,555532
smallwood_scBS,2i,SRR1248467,chrM,control,0.1255,146,0.4706,247,0.4603,1397
smallwood_scBS,2i,SRR1248467,chr19,autosome,15.145,23986,0.4247,135435,0.504,471109
smallwood_scBS,2i,SRR1248468,chrM,control,0.3054,142,0.8119,270,0.8022,1600
smallwood_scBS,2i,SRR1248468,chr19,autosome,40.8897,27278,0.4191,155142,0.5184,537172
smallwood_scBS,Ser,SRR1248477,chrM,control,0.6119,155,0.5744,257,0.5403,1621
smallwood_scBS,Ser,SRR1248477,chr19,autosome,73.8779,25294,0.7961,139449,0.9722,482856
smallwood_scBS,Ser,SRR1248478,chrM,control,0.3322,121,0.925,209,0.5366,1278
smallwood_scBS,Ser,SRR1248478,chr19,autosome,69.406,24826,0.9989,140033,1.2076,488600
smallwood_scBS,Ser,SRR1248479,chrM,control,0.5954,150,0.4252,245,0.4411,1428
smallwood_scBS,Ser,SRR1248479,chr19,autosome,63.8505,38969,0.9056,221754,1.044,777850
smallwood_scBS,Ser,SRR1248480,chrM,control,1.5643,143,0.2683,238,0.5865,1352
smallwood_scBS,Ser,SRR1248480,chr19,autosome,63.0344,41702,0.67,231006,0.7416,797638
smallwood_scBS,Ser,SRR1248481,chrM,control,1.3834,115,0.897,209,1.075,1145
smallwood_scBS,Ser,SRR1248481,chr19,autosome,69.161,33013,0.8658,184087,1.0167,641759
smallwood_scBS,Ser,SRR1248482,chrM,control,3.0038,134,2.2737,249,1.7201,1561
smallwood_scBS,Ser,SRR1248482,chr19,autosome,29.9772,50621,0.8184,282101,0.9145,968768
smallwood_scBS,Ser,SRR1248483,chrM,control,1.345,127,0.7117,209,1.7852,1240
smallwood_scBS,Ser,SRR1248483,chr19,autosome,77.9613,27987,2.333,161384,3.1725,573166
smallwood_scBS,Ser,SRR1248484,chrM,control,0.0,119,0.3513,190,0.5947,1172
smallwood_scBS,Ser,SRR1248484,chr19,autosome,71.5548,28042,0.7921,159287,0.9638,553757
smallwood_scBS,Ser,SRR1248485,chrM,control,1.7806,117,0.2764,193,0.8075,1051
smallwood_scBS,Ser,SRR1248485,chr19,autosome,56.1074,44174,0.617,245689,0.6939,845847
smallwood_scBS,Ser,SRR1248486,chrM,control,1.2314,155,0.7819,264,0.6236,1525
smallwood_scBS,Ser,SRR1248486,chr19,autosome,67.4781,39827,0.9751,225465,1.2324,782314
smallwood_scBS,Ser,SRR1248487,chrM,control,0.0,120,0.4976,201,0.6054,1236
smallwood_scBS,Ser,SRR1248487,chr19,autosome,73.0061,28010,1.1561,159511,1.5807,558526
smallwood_scBS,Ser,SRR1248488,chrM,control,1.0604,121,0.6419,199,1.004,1124
smallwood_scBS,Ser,SRR1248488,chr19,autosome,67.5958,17656,1.2673,100870,1.6424,348190
smallwood_scBS,Ser,SRR1248489,chrM,control,0.966,139,0.7816,253,0.6417,1440
smallwood_scBS,Ser,SRR1248489,chr19,autosome,58.2807,23161,0.8737,129498,1.0676,447509
smallwood_scBS,Ser,SRR1248490,chrM,control,0.4475,144,0.2118,250,0.3805,1469
smallwood_scBS,Ser,SRR1248490,chr19,autosome,64.3562,64688,1.0114,360246,1.2088,1247579
smallwood_scBS,Ser,SRR1248491,chrM,control,0.7984,133,0.2119,211,0.3207,1232
smallwood_scBS,Ser,SRR1248491,chr19,autosome,58.4724,29714,0.9642,165770,1.1333,573210
smallwood_scBS,Ser,SRR1248492,chrM,control,0.1379,145,0.6119,235,0.3182,1322
smallwood_scBS,Ser,SRR1248492,chr19,autosome,52.5519,46033,0.7547,256038,0.9278,883951
smallwood_scBS,Ser,SRR1248493,chrM,control,0.347,145,1.0887,250,0.3434,1392
smallwood_scBS,Ser,SRR1248493,chr19,autosome,72.6546,34968,0.9358,199450,1.1227,691562
