CellID,Trim_R1_InputReads,Trim_R1_TrimmedReads,Trim_R1_TrimmedReads_Pct,Trim_R2_InputReads,Trim_R2_TrimmedReads,Trim_R2_TrimmedReads_Pct,Bismark_TotalReads,Bismark_UniqMapped,Bismark_MappingRate,Bismark_Unmapped,Bismark_Ambiguous,Bismark_mCG_Rate,Bismark_mCHG_Rate,Bismark_mCHH_Rate,Bismark_TotalC,BAM_TotalAlignments,BAM_PrimaryMapped,BAM_Duplicates,BAM_MapQ30,BAM_MapQ30_Rate,chrM_noncpg,chrM_endo,chrM_exo,chr19_noncpg,chr19_endo,chr19_exo,CpG_TotalSites,CpG_TotalReads,CpG_MeanMethylation,CpG_MeanCoverage,CpG_MethylatedSites,CpG_MethylatedFrac,Trim_R1_ReadsWithAdapters,Trim_R1_ReadsWithAdapters_Pct,Trim_R1_QualityTrimmedBP,Trim_R1_TrimmedBP,Trim_R2_ReadsWithAdapters,Trim_R2_ReadsWithAdapters_Pct,Trim_R2_QualityTrimmedBP,Trim_R2_TrimmedBP,Bismark_OT,Bismark_OB,Bismark_CTOT,Bismark_CTOB,BAM_Secondary,BAM_Supplementary,BAM_Mapped,BAM_PrimaryMapped_iter,BisQC_Input,BisQC_TotalReads,BisQC_TotalReads_Pct,BisQC_Mapped,BisQC_Mapped_Pct,BisQC_MappedMapQ30,BisQC_MappedMapQ30_Pct,BisQC_MappedMapQ30ToLambda,BisQC_MappedMapQ30ToLambda_Pct,BisQC_MappedMapQ30ToTargetSpecies,BisQC_MappedMapQ30ToTargetSpecies_Pct,BisQC_DuplicateMapped,BisQC_DuplicateMapped_Pct,BisQC_SecondarySkipped,BisQC_SecondarySkipped_Pct,BisQC_SupplementarySkipped,BisQC_SupplementarySkipped_Pct
SRR1248457,20121114,20121114,100.0,20121114,20121114,100.0,29382096,6056009,20.6,11354127,11971960,39.0,1.1,2.4,118878514,6056009,6056009,868298,3986313,65.82409306194889,1.315,1.058,0.325,0.309,44.489,0.311,1086752,1438922,38.890893782574175,1.3240573746356117,427690,39.354885015164456,8885404,44.2,28566922,1682888976,13569557,67.4,76040851,1655531971,1366464,1371438,1652234,1665873,0,0,6056009,6056009,./SRR1248457.SE.input_bismark_bt2.bam,6056009,100.0,6056009,100.0,3986313,65.8241,0,0.0,3986313,100.0,0,0.0,0,0.0,0,0.0
SRR1248458,11230949,11230949,100.0,11230949,11230949,100.0,17809756,4013472,22.5,5694802,8101482,38.5,1.2,2.3,77779971,4013472,4013472,485673,2673841,66.62164330534759,1.044,0.0,0.0,0.363,43.1,0.421,796402,969315,36.87564748707319,1.2171177370222577,296460,37.224919073533215,5520606,49.2,18744766,851684506,8794865,78.3,49051507,837179120,908613,913521,1089034,1102304,0,0,4013472,4013472,./SRR1248458.SE.input_bismark_bt2.bam,4013472,100.0,4013472,100.0,2673841,66.6216,0,0.0,2673841,100.0,0,0.0,0,0.0,0,0.0
SRR1248459,19654356,19654356,100.0,19654356,19654356,100.0,29417778,5713155,19.4,10695289,13009334,48.2,1.6,3.2,108108279,5713155,5713155,1051951,3805135,66.60304157685202,1.046,1.809,1.538,0.412,51.856,0.44,955114,1234325,48.02651257336824,1.2923326430143418,462341,48.40689174276579,10999425,56.0,35445202,1386921285,15855493,80.7,98508541,1358136055,1289952,1302781,1546089,1574333,0,0,5713155,5713155,./SRR1248459.SE.input_bismark_bt2.bam,5713155,100.0,5713155,100.0,3805135,66.603,0,0.0,3805135,100.0,0,0.0,0,0.0,0,0.0
SRR1248460,22995697,22995697,100.0,22995697,22995697,100.0,34342772,7397151,21.5,11707218,15238403,29.2,1.4,2.9,140513256,7397151,7397151,1342550,4890648,66.11529222534459,1.08,3.318,0.0,0.345,32.747,0.332,1213256,1596181,27.02201677964092,1.31561764376191,334053,27.533595547848105,12383109,53.8,38092604,1644550812,18293226,79.6,112067246,1625298911,1665206,1674831,2012329,2044785,0,0,7397151,7397151,./SRR1248460.SE.input_bismark_bt2.bam,7397151,100.0,7397151,100.0,4890648,66.1153,0,0.0,4890648,100.0,0,0.0,0,0.0,0,0.0
SRR1248461,23458154,23458154,100.0,23458154,23458154,100.0,37037156,7031649,19.0,15275593,14729914,38.5,1.1,2.5,135289569,7031648,7031648,1344695,4670958,66.42764256686343,0.499,0.585,0.457,0.271,44.789,0.311,1132444,1541564,37.27032482842428,1.361271727343692,427812,37.77776207918449,11470834,48.9,34222097,1793792359,17162506,73.2,107219826,1771185457,1583789,1609246,1896281,1942332,0,0,7031648,7031648,./SRR1248461.SE.input_bismark_bt2.bam,7031648,100.0,7031648,100.0,4670958,66.4276,0,0.0,4670958,100.0,0,0.0,0,0.0,0,0.0
SRR1248462,25434842,25434842,100.0,25434842,25434842,100.0,36823048,6305486,17.1,12230228,18287334,12.9,2.0,4.8,113771176,6305486,6305486,1393226,4188178,66.42117673403763,1.586,2.166,0.4,0.516,7.218,0.553,930990,1221798,8.191617836926286,1.3123642574034091,78316,8.412120430939108,15210210,59.8,44025717,1665252341,21683522,85.3,134937535,1652753684,1415017,1440336,1702893,1747240,0,0,6305486,6305486,./SRR1248462.SE.input_bismark_bt2.bam,6305486,100.0,6305486,100.0,4188178,66.4212,0,0.0,4188178,100.0,0,0.0,0,0.0,0,0.0
SRR1248463,19978754,19978754,100.0,19978754,19978754,100.0,31480510,6741488,21.4,11750931,12988091,37.7,1.1,2.1,132168718,6741488,6741488,947404,4421133,65.58096669459324,1.223,2.564,0.862,0.412,45.067,0.377,1218048,1608220,36.75510441296228,1.3203256357713324,455113,37.36412686527953,8884763,44.5,29138545,1629510380,14471510,72.4,74394788,1599161745,1514513,1527795,1833653,1865527,0,0,6741488,6741488,./SRR1248463.SE.input_bismark_bt2.bam,6741488,100.0,6741488,100.0,4421133,65.581,0,0.0,4421133,100.0,0,0.0,0,0.0,0,0.0
SRR1248464,15966034,15966034,100.0,15966034,15966034,100.0,24633860,6227650,25.3,7342885,11063325,16.5,1.2,2.4,120845535,6227650,6227650,919270,4156646,66.745016177852,0.818,3.05,1.764,0.345,6.465,0.372,1147314,1517761,13.434877252434823,1.3228819660528852,158101,13.780098560638152,8183863,51.3,24311872,1170135574,12561621,78.7,69375877,1157391929,1404998,1416107,1688531,1718014,0,0,6227650,6227650,./SRR1248464.SE.input_bismark_bt2.bam,6227650,100.0,6227650,100.0,4156646,66.745,0,0.0,4156646,100.0,0,0.0,0,0.0,0,0.0
SRR1248465,18065844,18065844,100.0,18065844,18065844,100.0,28344420,7009775,24.7,9740944,11593701,26.8,1.3,2.5,135391035,7009775,7009775,1032205,4542493,64.80226540794818,0.152,1.054,0.379,0.572,27.432,0.621,1260421,1599002,23.086714248651727,1.268625324395579,297177,23.57759827867038,9231533,51.1,27674418,1367732180,13508961,74.8,77982892,1351685688,1564591,1582651,1908443,1954090,0,0,7009775,7009775,./SRR1248465.SE.input_bismark_bt2.bam,7009775,100.0,7009775,100.0,4542493,64.8023,0,0.0,4542493,100.0,0,0.0,0,0.0,0,0.0
SRR1248466,21749327,21749327,100.0,21749327,21749327,100.0,31031476,6463543,20.8,11914036,12653897,25.8,1.6,3.7,120020448,6463543,6463543,1158902,4265778,65.9975186983362,0.682,0.75,0.198,0.321,26.647,0.378,1047576,1365163,23.065166126371658,1.3031636845441286,246173,23.49929742567604,13699469,63.0,36923591,1421422620,17977302,82.7,106644172,1397806683,1459879,1478268,1739911,1785485,0,0,6463543,6463543,./SRR1248466.SE.input_bismark_bt2.bam,6463543,100.0,6463543,100.0,4265778,65.9975,0,0.0,4265778,100.0,0,0.0,0,0.0,0,0.0
