CellID,TotalInputReads,Combined_TotalReads,Combined_UniqMapped,Combined_MappingRate,Combined_mCG_Rate,Combined_mCHG_Rate,Combined_mCHH_Rate,Trim_R1_InputReads,Trim_R1_TrimmedReads,Trim_R1_TrimmedReads_Pct,Trim_R1_ReadsWithAdapters,Trim_R1_ReadsWithAdapters_Pct,Trim_R2_InputReads,Trim_R2_TrimmedReads,Trim_R2_TrimmedReads_Pct,Trim_R2_ReadsWithAdapters,Trim_R2_ReadsWithAdapters_Pct,Bismark_R1_TotalReads,Bismark_R1_UniqMapped,Bismark_R1_MappingRate,Bismark_R1_Unmapped,Bismark_R1_Ambiguous,Bismark_R1_mCG_Rate,Bismark_R1_mCHG_Rate,Bismark_R1_mCHH_Rate,Bismark_R1_TotalC,Bismark_R2_TotalReads,Bismark_R2_UniqMapped,Bismark_R2_MappingRate,Bismark_R2_Unmapped,Bismark_R2_Ambiguous,Bismark_R2_mCG_Rate,Bismark_R2_mCHG_Rate,Bismark_R2_mCHH_Rate,Bismark_R2_TotalC,BAM_R1_TotalReads,BAM_R1_PrimaryMappedReads,BAM_R1_UniqMappedMapQ30Reads,BAM_R1_DuplicatePrimaryMapped,BAM_R1_UniqMappedMapQ30ReadsToLambda,BAM_R1_UniqMappedMapQ30ReadsToTargetSpecies,BAM_R2_TotalReads,BAM_R2_PrimaryMappedReads,BAM_R2_UniqMappedMapQ30Reads,BAM_R2_DuplicatePrimaryMapped,BAM_R2_UniqMappedMapQ30ReadsToLambda,BAM_R2_UniqMappedMapQ30ReadsToTargetSpecies,Trim_R1_QualityTrimmedBP,Trim_R1_TrimmedBP,Trim_R2_QualityTrimmedBP,Trim_R2_TrimmedBP,BAM_R1_Input,BAM_R1_Layout,BAM_R1_NHtagDetected,BAM_R1_TotalReads_Pct,BAM_R1_PrimaryMappedReads_Pct,BAM_R1_UniqMappedReads,BAM_R1_UniqMappedReads_Pct,BAM_R1_UniqMappedMapQ30Reads_Pct,BAM_R1_UniqMappedMapQ30ReadsToLambda_Pct,BAM_R1_UniqMappedMapQ30ReadsToTargetSpecies_Pct,BAM_R1_DuplicatePrimaryMapped_Pct,BAM_R1_SecondarySkipped,BAM_R1_SecondarySkipped_Pct,BAM_R1_SupplementarySkipped,BAM_R1_SupplementarySkipped_Pct,BAM_R1_UnmappedSkipped,BAM_R1_UnmappedSkipped_Pct,BAM_R1_NotCountedDueToLayout,BAM_R2_Input,BAM_R2_Layout,BAM_R2_NHtagDetected,BAM_R2_TotalReads_Pct,BAM_R2_PrimaryMappedReads_Pct,BAM_R2_UniqMappedReads,BAM_R2_UniqMappedReads_Pct,BAM_R2_UniqMappedMapQ30Reads_Pct,BAM_R2_UniqMappedMapQ30ReadsToLambda_Pct,BAM_R2_UniqMappedMapQ30ReadsToTargetSpecies_Pct,BAM_R2_DuplicatePrimaryMapped_Pct,BAM_R2_SecondarySkipped,BAM_R2_SecondarySkipped_Pct,BAM_R2_SupplementarySkipped,BAM_R2_SupplementarySkipped_Pct,BAM_R2_UnmappedSkipped,BAM_R2_UnmappedSkipped_Pct,BAM_R2_NotCountedDueToLayout,HCG_site_count,GCH_site_count,chrM_noncpg,chrM_endo,chrM_exo,chr21_noncpg,chr21_endo,chr21_exo
SRR3729642,38932980,37089431,20209323,54.48809123008655,48.55,10.15,10.75,19466490,19466490,100.0,9730454,50.0,19466490,19466490,100.0,9133511,46.9,18927827,10499277,55.5,6880077,1548473,48.6,10.2,10.8,198024349,18161604,9710046,53.5,6762883,1688675,48.5,10.1,10.7,178090297,10499273,10499273,6547215,8133822,0,6547215,9710028,9710028,5971440,7174327,0,5971440,69042069,1768573110,203405350,1642450502,04.alignment/SRR3729642_1.rmdup.RG.bam,SE,False,100.0,100.0,10499273,100.0,62.358746,0.0,100.0,77.470335,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729642_2.rmdup.RG.bam,SE,False,100.0,100.0,9710028,100.0,61.49766,0.0,100.0,73.88575,0,0.0,0,0.0,0,0.0,0,518018,3331330,0.0,0.0,0.0,0.3369999999999999,35.814499999999995,22.1765
SRR3729643,28760382,27662032,13439403,48.584294168989466,55.1,26.35,29.65,14380191,14380191,100.0,6622875,46.1,14380191,14380191,100.0,6088641,42.3,14167367,7057884,49.8,6093020,1016463,55.4,26.7,30.2,132291509,13494665,6381519,47.3,6007546,1105600,54.8,26.0,29.1,115678444,7057884,7057884,4623622,4520525,0,4623622,6381504,6381504,4072556,3728811,0,4072556,48295468,1338015105,160401330,1230960063,04.alignment/SRR3729643_1.rmdup.RG.bam,SE,False,100.0,100.0,7057884,100.0,65.510031,0.0,100.0,64.049296,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729643_2.rmdup.RG.bam,SE,False,100.0,100.0,6381504,100.0,63.818122,0.0,100.0,58.431539,0,0.0,0,0.0,0,0.0,0,519145,3311907,8.5835,3.6315,20.6485,0.41,37.7755,19.031
SRR3729644,19576312,19008154,7302914,38.41990126973929,47.650000000000006,12.2,13.45,9788156,9788156,100.0,4532890,46.3,9788156,9788156,100.0,4264317,43.6,9709664,3810887,39.2,5349577,549200,47.7,12.2,13.5,72401070,9298490,3492027,37.6,5204135,602328,47.6,12.2,13.4,64632876,3810887,3810887,2333830,2808414,0,2333830,3492027,3492027,2112801,2438882,0,2112801,34197826,915600215,100591866,851441581,04.alignment/SRR3729644_1.rmdup.RG.bam,SE,False,100.0,100.0,3810887,100.0,61.241123,0.0,100.0,73.694497,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729644_2.rmdup.RG.bam,SE,False,100.0,100.0,3492027,100.0,60.50357,0.0,100.0,69.841442,0,0.0,0,0.0,0,0.0,0,232865,1491380,10.0,0.0,26.6665,0.274,36.3915,19.3185
SRR3729645,24846696,24053898,14696745,61.099223917886405,43.45,6.65,6.85,12423348,12423348,100.0,5601035,45.1,12423348,12423348,100.0,5241652,42.2,12334462,7750481,62.8,3588152,995829,43.6,6.7,6.9,147586572,11719436,6946264,59.3,3689206,1083966,43.3,6.6,6.8,128382091,7750472,7750472,4774306,6316465,0,4774306,6946264,6946264,4209511,5377997,0,4209511,43669711,1174449751,143526871,1075942353,04.alignment/SRR3729645_1.rmdup.RG.bam,SE,False,100.0,100.0,7750472,100.0,61.600197,0.0,100.0,81.497811,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729645_2.rmdup.RG.bam,SE,False,100.0,100.0,6946264,100.0,60.60108,0.0,100.0,77.422871,0,0.0,0,0.0,0,0.0,0,310611,2003354,7.6925,7.143,0.0,0.4125,32.6665,16.9645
SRR3729646,25538198,24617388,9319768,37.858476293260686,51.7,12.65,13.7,12769099,12769099,100.0,6099592,47.8,12769099,12769099,100.0,5568809,43.6,12645641,4889217,38.7,6975701,780723,51.7,12.6,13.7,91239495,11971747,4430551,37.0,6738064,803132,51.7,12.7,13.7,81180139,4889217,4889217,2967126,3394160,0,2967126,4430551,4430551,2670309,2940594,0,2670309,56964811,1186132319,148966561,1096670178,04.alignment/SRR3729646_1.rmdup.RG.bam,SE,False,100.0,100.0,4889217,100.0,60.687141,0.0,100.0,69.421341,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729646_2.rmdup.RG.bam,SE,False,100.0,100.0,4430551,100.0,60.270359,0.0,100.0,66.370842,0,0.0,0,0.0,0,0.0,0,287787,1912740,16.3425,15.2785,31.566,0.392,37.2015,21.631500000000003
SRR3729647,25484446,24476497,12394104,50.63675574164065,49.2,12.6,14.15,12742223,12742223,100.0,6111827,48.0,12742223,12742223,100.0,5577741,43.8,12578663,6507242,51.7,5102823,968598,49.3,12.5,14.1,123003351,11897834,5886862,49.5,4999516,1011456,49.1,12.7,14.2,107371741,6507241,6507241,3935985,5018580,0,3935985,5886860,5886860,3558453,4212540,0,3558453,50549799,1192564438,158016196,1087724785,04.alignment/SRR3729647_1.rmdup.RG.bam,SE,False,100.0,100.0,6507241,100.0,60.486234,0.0,100.0,77.123008,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729647_2.rmdup.RG.bam,SE,False,100.0,100.0,5886860,100.0,60.447386,0.0,100.0,71.558352,0,0.0,0,0.0,0,0.0,0,303827,1963242,3.125,0.0,8.3335,0.4095,36.227,18.2225
SRR3729648,28937824,27850666,15422620,55.376126373423176,42.85,6.9,7.6,14468912,14468912,100.0,6435258,44.5,14468912,14468912,100.0,5975040,41.3,14351897,8173616,57.0,5102820,1075461,42.9,6.9,7.6,155427104,13498769,7249004,53.7,5054545,1195220,42.8,6.9,7.6,133010386,8173615,8173615,5002841,6585796,0,5002841,7249004,7249004,4336330,5491977,0,4336330,52339688,1368896501,187098625,1236001361,04.alignment/SRR3729648_1.rmdup.RG.bam,SE,False,100.0,100.0,8173615,100.0,61.207201,0.0,100.0,80.573846,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729648_2.rmdup.RG.bam,SE,False,100.0,100.0,7249004,100.0,59.819666,0.0,100.0,75.761815,0,0.0,0,0.0,0,0.0,0,329480,2117096,11.8985,26.4285,12.549,0.2734999999999999,33.709,13.4125
SRR3729649,36689304,35441506,17013344,48.00400976188766,49.15,13.5,15.25,18344652,18344652,100.0,8566446,46.7,18344652,18344652,100.0,7849527,42.8,18174489,8917131,49.1,7996406,1260952,49.3,13.4,15.2,167555018,17267017,8096213,46.9,7760026,1410778,49.0,13.6,15.3,147402563,8917131,8917131,5589990,7048124,0,5589990,8096213,8096213,5009604,6083686,0,5009604,64002743,1717490458,212306142,1572229150,04.alignment/SRR3729649_1.rmdup.RG.bam,SE,False,100.0,100.0,8917131,100.0,62.688212,0.0,100.0,79.040265,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729649_2.rmdup.RG.bam,SE,False,100.0,100.0,8096213,100.0,61.875892,0.0,100.0,75.142366,0,0.0,0,0.0,0,0.0,0,363499,2318348,7.7405,8.5755,20.764,0.4095,37.5585,17.368499999999997
SRR3729650,40622242,39228283,21463777,54.71505597122361,46.0,6.15,6.55,20311121,20311121,100.0,9341889,46.0,20311121,20311121,100.0,8751075,43.1,20116071,11240967,55.9,7372048,1503056,46.1,6.2,6.6,212583655,19112212,10222810,53.5,7234443,1654959,45.9,6.1,6.5,187941950,11240967,11240967,6742284,9252797,0,6742284,10222810,10222810,6097018,8043527,0,6097018,73143910,1899345214,236276846,1740091658,04.alignment/SRR3729650_1.rmdup.RG.bam,SE,False,100.0,100.0,11240967,100.0,59.979573,0.0,100.0,82.313176,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729650_2.rmdup.RG.bam,SE,False,100.0,100.0,10222810,100.0,59.641312,0.0,100.0,78.682153,0,0.0,0,0.0,0,0.0,0,410005,2601332,0.0,0.0,16.6665,0.3405,38.407,13.777
SRR3729651,17208512,16602600,10173235,61.27495091130305,52.35,9.95,11.0,8604256,8604256,100.0,3978830,46.2,8604256,8604256,100.0,3695579,43.0,8525607,5331564,62.5,2418510,775533,52.4,9.9,11.0,100261022,8076993,4841671,59.9,2422302,813020,52.3,10.0,11.0,89137757,5331564,5331564,3247554,4034751,0,3247554,4841671,4841671,2920412,3544801,0,2920412,39356137,801652381,102971332,739277293,04.alignment/SRR3729651_1.rmdup.RG.bam,SE,False,100.0,100.0,5331564,100.0,60.911845,0.0,100.0,75.676687,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729651_2.rmdup.RG.bam,SE,False,100.0,100.0,4841671,100.0,60.318266,0.0,100.0,73.214413,0,0.0,0,0.0,0,0.0,0,251735,1634802,33.333,0.0,0.0,0.3855,43.951,18.815
